Id,Source,Nucleotide Accession,Start,Stop,Strand,Protein,Protein Name,Organism,Strain,Assembly,len
559438,RefSeq,NC_004678.1,2280,2762,+,NP_817303.1,hypothetical protein,Staphylococcus phage phi44AHJD,,GCF_000843045.1,483
179291241,INSDC,NZGQ01000097.1,23546,24157,-,MAI05278.1,hypothetical protein,Methanobacteriota archaeon,,GCA_002689565.1,612
135321730,INSDC,KY290956.1,76610,77416,-,APU01937.1,DNA end protector during packaging protein,Aeromonas phage L9-6,,GCA_002618325.1,807
179390461,INSDC,NZIR01000025.1,10184,10741,+,MAJ57753.1,hypothetical protein,Candidatus Pelagibacter sp.,,GCA_002691705.1,558
7268054,INSDC,LC629463.1,149730,150077,+,BCU95600.1,hypothetical protein,uncultured marine virus,,GCA_018443405.1,348
179109378,INSDC,NZHF01000041.1,11859,12212,+,MAI82168.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_002691305.1,354
254396104,RefSeq,NZ_BMVT01000042.1,43881,45494,+,WP_138909107.1,glycosyl hydrolase family 28-related protein,Streptomyces chryseus,JCM 4768,GCF_014650855.1,1614
918840955,RefSeq,NZ_JBIAJN010000016.1,107380,111174,-,WP_388741811.1,glycosyl hydrolase family 28-related protein,Streptomyces sp. NPDC005506,NPDC005506,GCF_042871985.1,3795
61479888,RefSeq,NC_025429.1,90925,91554,-,YP_009099867.1,DNA end protector,Rhizobium phage vB_RleM_P10VF,,GCF_000925855.1,630
227534600,RefSeq,NC_049968.1,7101,8021,-,YP_009910463.1,DNA terminal protein,Bacillus phage DK2,,GCF_004135225.1,921
34347902,RefSeq,NC_020845.1,106228,106692,+,YP_007673845.1,DNA end protector,Prochlorococcus phage MED4-213,MED4-213,GCF_000904535.1,465
168147209,INSDC,PBYU01000030.1,5958,6563,+,MBT72005.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_002730035.1,606
179660889,INSDC,NZZP01000035.1,456,986,+,MAR78155.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_002698665.1,531
119617874,RefSeq,NC_031935.1,2993,3682,-,YP_009324168.1,DNA end protector protein,Synechococcus phage S-WAM2,,GCF_001882115.1,690
93661138,INSDC,LNUB01000033.1,254887,255948,+,KAE9558774.1,hypothetical protein,Companilactobacillus kimchii,DSM 13961,GCA_009764365.1,1062
292442590,INSDC,MN855763.1,108680,109678,-,QHJ78973.1,hypothetical protein,Caudoviricetes sp.,,GCA_012593985.1,999
355715874,INSDC,JACNIA010000013.1,977,1489,-,MBC8429883.1,hypothetical protein,Pelagibacteraceae bacterium,,GCA_014383385.1,513
450047565,INSDC,LC629478.1,36428,36778,+,BCU98818.1,hypothetical protein,Bellamyvirus sp.,,GCA_018448665.1,351
165881104,INSDC,PAOR01000016.1,20535,20882,+,MBA41859.1,hypothetical protein,Flavobacteriaceae bacterium,,GCA_002708545.1,348
233298,RefSeq,NC_002685.2,7467,12021,-,NP_077390.1,pTP,Bovine atadenovirus D,THT/62,GCF_000845805.1,4555
722352615,INSDC,JAXFPW010000026.1,3178,3984,+,MDY5996077.1,hypothetical protein,Bacilli bacterium,,GCA_034179605.1,807
478519139,INSDC,WSUB01000003.1,696724,700350,+,KAG8956018.1,hypothetical protein,Tulasnella sp. 424,424,GCA_019633425.1,3627
404973466,INSDC,VGGS01000006.1,4260,4838,-,MBM3417389.1,hypothetical protein,Bacteroidota bacterium,,GCA_016868525.1,579
754562954,INSDC,DATKZY010000271.1,2822,5113,-,HUT37491.1,glycosyl hydrolase family 28-related protein,Planctomycetota bacterium,,GCA_035527715.1,2292
456926647,INSDC,JABIPJ010000061.1,15253,15945,+,MBT6072472.1,hypothetical protein,Methanobacteriota archaeon,,GCA_018698865.1,693
293015977,INSDC,RFPH01000020.1,377,784,+,NBW34590.1,hypothetical protein,Cytophagia bacterium,,GCA_009926265.1,408
597883879,INSDC,ON923977.1,5119,6996,-,UZV41723.1,E2B preterminal protein,Adenovirus sp.,BEL_WW,GCA_026568055.1,1878
389749390,INSDC,MT949699.1,81075,81914,-,QQM13896.1,DNA end protector,Acinetobacter phage Maestro,,GCA_016653715.1,840
615824911,INSDC,JAOJJN010000001.1,57077,57670,+,MDB4559066.1,hypothetical protein,bacterium,,GCA_028259425.1,594
108292965,RefSeq,NZ_BSSZ01000013.1,54947,55399,-,WP_063384088.1,hypothetical protein,Bacillus badius,NBRC 101633,GCF_030269245.1,453
356467526,RefSeq,NZ_JACSWY010000016.1,7219,9126,+,WP_187507283.1,glycosyl hydrolase family 28-related protein,Pantoea agglomerans,Pa39-14,GCF_014354055.1,1908
462436114,INSDC,BK030649.1,10287,11057,+,DAI39303.1,hypothetical protein,Caudoviricetes sp.,,,771
780692105,INSDC,JAYZKB010000414.1,1137,1613,+,MEC7807456.1,hypothetical protein,Pseudomonadota bacterium,,GCA_036163915.1,477
78663141,RefSeq,NZ_BALE01000033.1,873,2660,+,WP_048849597.1,hypothetical protein,Tanticharoenia sakaeratensis NBRC 103193,NBRC 103193,GCF_000963885.1,1788
463639371,INSDC,BK021178.1,12054,12776,-,DAL72410.1,hypothetical protein,Caudoviricetes sp.,,,723
179660453,INSDC,NZZP01000016.1,5631,6011,-,MAR77710.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_002698665.1,381
466470743,INSDC,BK028473.1,12606,13346,-,DAV45373.1,hypothetical protein,Caudoviricetes sp.,,,741
620265441,INSDC,JAOLFF010000004.1,5036,5659,+,MDB9980541.1,hypothetical protein,bacterium,,GCA_028340885.1,624
219385542,INSDC,NHKS02000010.1,463,1071,+,RPG04967.1,hypothetical protein,Pelagibacteraceae bacterium TMED247,,GCA_002169435.2,609
528567397,INSDC,JAKUQG010000212.1,130,756,-,MCH2508301.1,hypothetical protein,Dehalococcoidia bacterium,,GCA_022450315.1,627
176254475,INSDC,MG592456.1,211691,212293,-,AUR86065.1,hypothetical protein,Vibrio phage 1.081.O._10N.286.52.C2,,GCA_003927315.1,603
466584477,INSDC,BK039347.1,13500,14306,-,DAX35708.1,hypothetical protein,Caudoviricetes sp.,,,807
152305,RefSeq,NC_002649.1,4529,5326,-,NP_073686.1,DNA terminal protein,Bacillus phage GA1,,GCF_000858305.1,798
682141241,INSDC,JAUZPD010000006.1,14157,16493,+,MDP4148461.1,glycosyl hydrolase family 28-related protein,Bacteroidota bacterium,,GCA_030706155.1,2337
295414284,INSDC,RHCO01000108.1,1877,2458,+,NDB28677.1,hypothetical protein,archaeon,,GCA_010028525.1,582
268156486,INSDC,MK962753.1,68294,69121,-,QEG05439.1,DNA end protector protein,Shigella phage JK32,JK32,GCA_008214095.1,828
58856988,RefSeq,NC_024486.1,10092,14716,-,YP_009047156.1,pTP,Duck adenovirus 2,GR,GCF_000923915.1,4625
780738623,INSDC,JAYZLZ010000173.1,1815,2423,+,MEC7714303.1,hypothetical protein,Thermoplasmatota archaeon,,GCA_036153775.1,609
221934822,RefSeq,NZ_RMVE01000006.1,83147,83617,+,WP_124981651.1,hypothetical protein,Nonlabens xiamenensis,1Q3,GCF_003865345.1,471
434933240,INSDC,JAFRDD010000167.1,11224,11979,-,MBQ3416088.1,hypothetical protein,Clostridia bacterium,,GCA_017404025.1,756
390491177,RefSeq,NC_055917.2,3826,4647,-,YP_010114692.1,DNA terminal protein,Bacillus phage WhyPhy,,GCF_016673615.2,822
197933937,RefSeq,NC_075453.1,7892,12342,-,YP_010790712.1,pre-terminal protein,Eidolon helvum adenovirus,,GCF_006425395.1,4451
888897173,INSDC,JBEAXF010000266.1,1216,1800,-,MEY3311836.1,hypothetical protein,Bacteroidota bacterium,,GCA_041159985.1,585
466443873,INSDC,BK037072.1,3361,4074,+,DAW67272.1,DNA terminal protein,Caudoviricetes sp.,,,714
424419695,INSDC,JAGCBE010000172.1,3042,3845,+,MBO7692632.1,hypothetical protein,Methanobrevibacter sp.,,GCA_017652345.1,804
452596987,INSDC,JAHAFR010000099.1,2079,2843,-,MBS6155499.1,hypothetical protein,Collinsella sp.,,GCA_018374175.1,765
485118647,INSDC,JAHFYR010000004.1,401286,406114,-,KAH0372502.1,glycoside hydrolase family 55 protein,Aureobasidium melanogenum,EXF-3233,GCA_019925055.1,4829
165155792,INSDC,NYWG01000192.1,17793,18485,+,MAD25438.1,hypothetical protein,Verrucomicrobiales bacterium,,GCA_002684915.1,693
543299663,INSDC,ON042750.1,14291,15091,+,UOX39806.1,primer terminal protein,Bacillus phage Chedec 11,,GCA_025515755.1,801
162374336,INSDC,MF498773.1,74560,75558,-,ATI17395.1,hypothetical protein,Aeromonas phage AS-szw,,GCA_002743635.1,999
445435455,INSDC,JAFZDT010000078.1,2011,2985,+,MBR5795283.1,hypothetical protein,Erysipelotrichaceae bacterium,,GCA_017561055.1,975
701151207,INSDC,OR473000.1,151256,151600,+,WNL51121.1,terminal DNA protecting protein,Synechococcus phage S-CREM2,,GCA_032255945.1,345
1730804,RefSeq,NC_005260.1,121327,122325,-,NP_944079.1,DNA end protector,Aeromonas phage Aeh1,,GCF_000843245.1,999
888863,RefSeq,NC_001423.1,1483,2283,+,NP_040718.1,DNA terminal protein,Bacillus phage PZA,,GCF_002755075.1,801
164450551,RefSeq,NZ_NUIO01000079.1,12495,13232,-,WP_098829850.1,hypothetical protein,Bacillus thuringiensis,AFS049207,GCF_002575705.1,738
463774724,INSDC,BK038911.1,13069,14022,-,DAJ38996.1,hypothetical protein,Caudoviricetes sp.,,,954
449489005,INSDC,MW286325.1,12578,14725,-,QUS52947.1,terminal protein precursor pTP,Pigeon adenovirus 1,P18-05523-6,,2148
321605839,INSDC,LR796861.1,58666,59268,-,CAB4170673.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902990125.1,603
254224880,RefSeq,NZ_CP030771.1,4799365,4800999,+,WP_249401800.1,right-handed parallel beta-helix repeat-containing protein,Streptomyces sp. YIM 121038,YIM 121038,GCF_006088715.1,1635
167734033,INSDC,PBQC01000014.1,2215,2805,-,MBN75716.1,hypothetical protein,Actinomycetota bacterium,,GCA_002724905.1,591
79142558,INSDC,AP014200.1,882,1259,-,BAR30536.1,hypothetical protein,uncultured Mediterranean phage uvMED,,,378
179167432,INSDC,NZGN01000038.1,71983,72573,-,MAI17818.1,hypothetical protein,Marinovum sp.,,GCA_002691045.1,591
466565519,INSDC,BK027723.1,2622,3359,+,DAX11125.1,hypothetical protein,Caudoviricetes sp.,,,738
197489169,INSDC,MH517022.1,122679,123356,+,AXF41530.1,DNA end protector protein,Acinetobacter phage SH-Ab 15599,,GCA_003369245.1,678
295337395,INSDC,RGWU01000057.1,7746,8285,+,NDB58220.1,hypothetical protein,bacterium,,GCA_010026765.1,540
528645608,INSDC,JAKUSJ010000019.1,435,1031,+,MCH2404531.1,hypothetical protein,Nitrososphaerales archaeon,,GCA_022451545.1,597
179540970,INSDC,NZHO01000040.1,7560,8120,-,MAJ66271.1,hypothetical protein,Candidatus Pelagibacter sp.,,GCA_002689645.1,561
196968378,RefSeq,NC_048709.1,23615,24289,+,YP_009838247.1,DNA end protector,Vibrio phage YC,,GCF_003441855.1,675
463803559,INSDC,BK043741.1,11366,12136,+,DAJ65761.1,hypothetical protein,Caudoviricetes sp.,,,771
618213929,INSDC,JAOKQO010000001.1,7051,7689,-,MDB4331276.1,hypothetical protein,bacterium,,GCA_028255545.1,639
321583853,INSDC,LR796423.1,98381,98992,+,CAB4143210.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902985825.1,612
463529687,INSDC,BK036097.1,20627,21259,-,DAK39760.1,DNA end protector protein,Caudoviricetes sp.,,,633
655050357,RefSeq,NZ_JASGXL010000009.1,102552,104639,+,WP_283299479.1,hypothetical protein,Burkholderia cenocepacia,CAB1488,GCF_030055775.1,2088
465202634,INSDC,BK038524.1,1032,1829,+,DAO98353.1,hypothetical protein,Caudoviricetes sp.,,,798
312458840,RefSeq,NC_055841.1,96151,96786,-,YP_010107304.1,DNA end protector,Agrobacterium phage OLIVR5,OLIVR5,GCF_017903535.1,636
167193642,INSDC,PBKW01000001.1,22040,22672,+,MBM31233.1,hypothetical protein,Chloroflexota bacterium,,GCA_002721615.1,633
424757516,INSDC,JAGCJE010000095.1,10935,11744,+,MBO7308554.1,hypothetical protein,Kiritimatiellia bacterium,,GCA_017648225.1,810
821536022,INSDC,JBAXKL010000202.1,857,1453,+,MEI6882134.1,hypothetical protein,Bacteroidota bacterium,,GCA_037135355.1,597
442546708,INSDC,JAFWCC010000082.1,9101,9904,-,MBR2652485.1,hypothetical protein,bacterium,,GCA_017545805.1,804
293697094,INSDC,RGCK01000636.1,42,635,+,NBP58283.1,hypothetical protein,Candidatus Elulimicrobium humile,,GCA_009919195.1,594
295778665,INSDC,RHBH01000012.1,15792,16385,-,NDG29042.1,hypothetical protein,bacterium,,GCA_010031135.1,594
293695582,INSDC,RGCK01000002.1,8704,9297,-,NBP55030.1,hypothetical protein,Candidatus Elulimicrobium humile,,GCA_009919195.1,594
628250850,INSDC,JAQYOZ010000056.1,4241,5068,+,MDD7622606.1,hypothetical protein,Bacilli bacterium,,GCA_028727065.1,828
52295,RefSeq,NC_000942.1,7833,9791,-,NP_015538.1,pTP,Murine mastadenovirus A,,GCF_000844265.1,1959
770272292,INSDC,DASSUK010000381.1,946,1551,-,HET8685922.1,hypothetical protein,Methanosarcina sp.,,GCA_035707045.1,606
24197853,RefSeq,NC_020487.1,9057,14266,-,YP_007518314.1,pTP,Titi monkey adenovirus ECC-2011,,GCF_000905855.1,5210
682279462,INSDC,JAUZOU010000243.1,1777,3090,+,MDP4277830.1,glycosyl hydrolase family 28-related protein,Bacteroidota bacterium,,GCA_030706285.1,1314
4115081,INSDC,AY848684.1,234,1013,+,AAX45555.1,terminal protein,Enterobacteria phage L17,,GCA_002600105.1,780
151720066,RefSeq,NZ_NZGW01000060.1,23664,24236,-,WP_287009668.1,hypothetical protein,Alteromonas sp.,,GCF_002691125.1,573
168122422,INSDC,PBYV01000032.1,13345,13971,-,MBT69320.1,hypothetical protein,Acidimicrobiaceae bacterium,,GCA_002729765.1,627
375924235,INSDC,DQKQ01000249.1,10816,11409,+,HIK68064.1,hypothetical protein,Flavobacteriales bacterium,,GCA_015660615.1,594
119616422,INSDC,KU686197.1,2566,3237,-,AOV58509.1,DNA end protector protein,Synechococcus phage S-CAM3,,GCA_002922125.1,672
442428628,INSDC,JAFWJA010000006.1,10750,11565,-,MBR3116424.1,hypothetical protein,Bacilli bacterium,,GCA_017511805.1,816
599382801,INSDC,JAPLSS010000431.1,8705,9976,+,MCX7013734.1,glycosyl hydrolase family 28-related protein,Candidatus Sumerlaeota bacterium,,GCA_026398515.1,1272
166407171,INSDC,PARD01000025.1,113893,114462,-,MBB38065.1,hypothetical protein,Actinomycetota bacterium,,GCA_002709475.1,570
626288699,RefSeq,NZ_JAQTPQ010000267.1,734,1309,+,WP_300102907.1,hypothetical protein,Flavobacterium sp.,,GCF_028712645.1,576
225828147,INSDC,RXKI01000005.1,2806,3411,+,RTK97643.1,hypothetical protein,Neisseriaceae bacterium,,GCA_003962895.1,606
557810814,RefSeq,NZ_JAMAVP010000019.1,1741,2517,+,WP_251247684.1,hypothetical protein,Bacillus velezensis,MER 166,GCF_023713745.1,777
482027747,INSDC,MW824370.1,53434,54105,+,QZI89773.1,hypothetical protein,Vibrio phage 144E46.1,,GCA_020476845.1,672
462472280,INSDC,BK023926.1,5162,5977,+,DAH65886.1,hypothetical protein,Caudoviricetes sp.,,,816
293678040,INSDC,RGCF01000015.1,42477,43049,-,NBP63908.1,hypothetical protein,Bacteroidota bacterium,,GCA_009919265.1,573
863576269,INSDC,JAZJYE010000049.1,8883,10163,+,MES2055957.1,glycosyl hydrolase family 28-related protein,Pseudomonadota bacterium,,GCA_040390545.1,1281
597133361,RefSeq,NZ_JAPEPS010000001.1,1981026,1982657,+,WP_266994387.1,right-handed parallel beta-helix repeat-containing protein,Streptomyces mirabilis,NBC_01472,GCF_026340005.1,1632
462510415,INSDC,BK015993.1,15128,16213,-,DAF88746.1,hypothetical protein,Podoviridae sp. ctjUd6,,,1086
471693080,INSDC,JAFBAJ010000708.1,480,2204,-,MBV9959921.1,hypothetical protein,Acidobacteriota bacterium,,GCA_019247865.1,1725
456167414,INSDC,JABGRJ010000272.1,2348,4072,-,MBT3380625.1,hypothetical protein,Lentisphaerota bacterium,,GCA_018648355.1,1725
416773287,RefSeq,NZ_JAFMTU010000089.1,1,398,-,WP_206886507.1,hypothetical protein,Alicyclobacillus mali (ex Roth et al. 2021),FSL-W10-0037,GCF_017329625.1,398
282960493,INSDC,AP019525.1,216438,217169,+,BBI90996.1,DNA end protector protein,Tenacibaculum phage PTm5,PTm5,GCA_009730715.1,732
462405574,INSDC,BK018514.1,963,1847,+,DAG68199.1,hypothetical protein,Caudoviricetes sp.,,,885
450045802,INSDC,LC629471.1,45635,46090,-,BCU97520.1,hypothetical protein,Caudoviricetes sp.,,GCA_018448405.1,456
439537632,INSDC,JAFUBL010000115.1,2279,3034,+,MBQ9012853.1,hypothetical protein,Bacilli bacterium,,GCA_017460205.1,756
239776341,INSDC,MK016664.1,13779,14117,-,QBP05998.1,hypothetical protein,Synechococcus phage S-B68,,GCA_004521555.1,339
465799520,INSDC,BK033642.1,16324,17301,-,DAR80938.1,hypothetical protein,Caudoviricetes sp.,,,978
696597104,INSDC,JARLGB010000035.1,11631,13325,+,MDR3724340.1,glycosyl hydrolase family 28 protein,Terracidiphilus sp.,,GCA_031296285.1,1695
464982445,INSDC,BK044069.1,3082,3825,-,DAP12941.1,DNA terminal protein,Caudoviricetes sp.,,,744
466554210,INSDC,BK026342.1,12497,13240,-,DAW96809.1,DNA terminal protein,Caudoviricetes sp.,,,744
450041034,INSDC,LC629456.1,46976,47239,+,BCU93478.1,hypothetical protein,uncultured marine virus,,GCA_018443485.1,264
405876204,INSDC,VGYL01000918.1,601,2310,+,MBM4029085.1,hypothetical protein,Planctomycetota bacterium,,GCA_016872975.1,1710
397404528,RefSeq,NZ_CP068419.1,294176,295885,+,WP_202257371.1,hypothetical protein,Gluconobacter sphaericus,SJF2-1,GCF_016757795.1,1710
466510722,INSDC,BK029353.1,9242,9979,+,DAV92706.1,DNA end protector protein,Caudoviricetes sp.,,,738
166062010,INSDC,PAKA01000003.1,16660,17007,+,MAX60198.1,hypothetical protein,Rhodobiaceae bacterium,,GCA_002710405.1,348
865306029,INSDC,JBEVXU010000053.1,284,1297,+,MES9901005.1,hypothetical protein,Sedimenticola sp.,,GCA_040505895.1,1014
212293274,RefSeq,NZ_RBZM01000006.1,481665,484427,-,WP_120977948.1,glycosyl hydrolase family 28-related protein,Cohnella endophytica,M2MS4P-1,GCF_003628305.1,2763
463802151,INSDC,BK043702.1,1616,2473,+,DAJ64125.1,hypothetical protein,Caudoviricetes sp.,,,858
466676771,INSDC,BK041558.1,1798,2673,+,DAY42425.1,hypothetical protein,Caudoviricetes sp.,,,876
165064543,INSDC,NYTQ01000159.1,15734,16228,-,MAA58472.1,hypothetical protein,Cryomorphaceae bacterium,,GCA_002683585.1,495
485807479,INSDC,MZ603080.1,7833,10433,-,UAW96080.1,DNA terminal protein,Human mastadenovirus C,,,2601
672365167,INSDC,JAKDRT010000259.1,1420,1929,+,MDN6162083.1,hypothetical protein,Atopostipes sp.,,GCA_030454295.1,510
685518851,INSDC,OQ504984.1,25401,25913,+,WLW37897.1,DNA end protector protein,Synechococcus phage S-8S56,,GCA_030875115.1,513
465594515,INSDC,BK055710.1,1926,2627,+,DAV24441.1,DNA terminal protein,Caudoviricetes sp.,,,702
424388651,INSDC,JAGCAQ010000165.1,14466,15320,-,MBO7714060.1,hypothetical protein,Methanobrevibacter sp.,,GCA_017652645.1,855
4768683,RefSeq,NC_009989.1,7596,12274,-,YP_001552248.1,pTP,Snake adenovirus 1,145/88,GCF_000872165.1,4679
789370378,INSDC,JAXJXA010000214.1,2077,2787,-,MEE0930468.1,hypothetical protein,Acutalibacteraceae bacterium,,GCA_036307745.1,711
284856251,RefSeq,NZ_LYXZ01000063.1,3562,5442,-,WP_156771771.1,hypothetical protein,Labrys sp. WJW,WJW,GCF_001676615.1,1881
461674358,INSDC,BK055865.1,12322,13068,+,DAE96383.1,terminal protein,Caudoviricetes sp.,,,747
809277264,INSDC,JAVWKU010000400.1,1206,1970,-,MEG0367343.1,hypothetical protein,Coprobacillus sp.,,GCA_036638335.1,765
103141128,RefSeq,NC_030948.1,75791,76564,+,YP_009277048.1,DNA end protector,Ralstonia phage RSP15,RSP15,GCF_001736715.1,774
464926957,INSDC,BK045733.1,21879,22625,-,DAP95445.1,DNA end protector protein,Caudoviricetes sp.,,,747
462638425,INSDC,BK017338.1,2006,2752,+,DAF83813.1,hypothetical protein,Caudoviricetes sp.,,,747
660738478,RefSeq,NZ_CASZTE010000062.1,11861,12607,-,WP_286146476.1,hypothetical protein,Ileibacterium valens,,GCF_949492665.1,747
466520586,INSDC,BK029545.1,3960,4721,+,DAW02363.1,hypothetical protein,Caudoviricetes sp.,,,762
587386791,INSDC,JAAXKO010000102.1,9771,10517,+,MCU7526204.1,hypothetical protein,Ignavibacteria bacterium,,GCA_025612315.1,747
442255165,INSDC,JAFWHM010000026.1,176,970,+,MBR2857686.1,hypothetical protein,bacterium,,GCA_017515195.1,795
462482874,INSDC,BK024152.1,3085,3828,-,DAH77864.1,DNA polymerase,Caudoviricetes sp.,,,744
257957167,RefSeq,NC_049970.1,3954,4748,-,YP_009910547.1,DNA terminal protein,Bacillus phage Karezi,,GCF_006869665.1,795
810375381,INSDC,PP059645.1,1039,1806,+,WVX89719.1,DNA terminal protein,Microbacterium phage Curie,,GCA_036852255.1,768
917759695,RefSeq,NZ_JBHVHM010000182.1,1,769,+,WP_377554628.1,hypothetical protein,Priestia megaterium,NPDC057648,GCF_042800115.1,769
721046695,INSDC,JAXEAR010000123.1,2705,3472,+,MDY2575742.1,hypothetical protein,Bacilli bacterium,,GCA_034086365.1,768
463836574,INSDC,BK050238.1,16116,16883,-,DAK04608.1,terminal protein,Caudoviricetes sp.,,,768
562905361,INSDC,MZ570263.1,4213,5010,-,UTC25166.1,DNA terminal protein,Cytobacillus phage Bfsp1,,GCA_024234565.1,798
422840243,INSDC,JAGAJW010000058.1,2011,2781,+,MBO5434495.1,hypothetical protein,bacterium,,GCA_017625975.1,771
355706121,INSDC,JACNHO010000029.1,8606,9370,-,MBC8442898.1,hypothetical protein,Pseudomonadota bacterium,,GCA_014383535.1,765
464907377,INSDC,BK045229.1,12076,12846,-,DAP71713.1,hypothetical protein,Caudoviricetes sp.,,,771
463595430,INSDC,BK047473.1,125027,125797,+,DAK62299.1,DNA end protector protein,Caudoviricetes sp.,,,771
848952741,RefSeq,NZ_CAQHYD010000051.1,11718,12464,+,WP_347280256.1,hypothetical protein,uncultured Phocaeicola sp.,,GCF_948804745.1,747
530835093,RefSeq,NC_073479.1,2058,2852,+,YP_010756039.1,Putative terminal protein,Glutamicibacter phage Voltaire,,GCF_927798495.1,795
900146383,INSDC,PQ114753.1,1028,1795,+,XGU07810.1,DNA terminal protein,Microbacterium phage Evcara,,,768
465209560,INSDC,BK057953.1,13304,14086,-,DAQ54201.1,DNA terminal protein,Caudoviricetes sp.,,,783
767718927,INSDC,DASRMM010000001.1,460,1242,+,HZK22465.1,hypothetical protein,Atopostipes sp.,,GCA_035647915.1,783
138544468,RefSeq,NZ_JABTBM010000001.1,4409,5164,+,WP_077841610.1,hypothetical protein,Clostridium beijerinckii,DJ124,GCF_013294205.1,756
442443584,INSDC,JAFWHK010000015.1,13736,14521,-,MBR2553453.1,hypothetical protein,Aeriscardovia sp.,,GCA_017515185.1,786
462520036,INSDC,BK020061.1,3026,3802,+,DAI65264.1,DNA terminal protein,Caudoviricetes sp.,,,777
461317152,INSDC,BK015897.1,4209,4964,-,DAD72321.1,terminal protein,Podoviridae sp. ctC8s18,,,756
443696621,INSDC,JAFWWV010000134.1,9053,9832,-,MBR4003570.1,hypothetical protein,Clostridia bacterium,,GCA_017523305.1,780
466454523,INSDC,BK037364.1,11261,12016,-,DAW80596.1,DNA terminal protein,Caudoviricetes sp.,,,756
576637079,INSDC,OP073953.1,3154,3930,+,UVY61845.1,DNA terminal protein,Bacteriophage sp.,,,777
465206985,INSDC,BK057890.1,5118,5894,-,DAQ51055.1,DNA terminal protein,Caudoviricetes sp.,,,777
554942753,INSDC,ON381767.1,1347,2126,+,URG18047.1,terminal protein,Curtobacterium phage Ayka,,GCA_023617395.1,780
27342808,RefSeq,NC_019521.1,104518,105267,+,YP_007006746.1,gp139,Sphingomonas phage PAU,,GCF_000902455.1,750
682164958,INSDC,JAUZPX010000090.1,3692,4441,-,MDP4120848.1,hypothetical protein,Bacillota bacterium,,GCA_030705695.1,750
424389818,INSDC,JAGCAQ010000350.1,14054,14827,-,MBO7715537.1,hypothetical protein,Methanobrevibacter sp.,,GCA_017652645.1,774
164139713,RefSeq,NZ_NVES01000051.1,1130,1918,+,WP_098624577.1,hypothetical protein,Bacillus sp. AFS075034,AFS075034,GCF_002569845.1,789
