210900311	RefSeq	NC_049966.1	6797	7750	-	YP_009910369.1	DNA terminal protein	Bacillus phage vB_BthP-Goe4	Goe4	GCF_003614635.1
210900311	INSDC	MH817022.1	6797	7750	-	AYD87725.1	terminal protein	Bacillus phage vB_BthP-Goe4	Goe4	GCA_003614635.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
115142531	INSDC	KX258422.1	11243	13453	-	AOC84064.1	pTP protein	Fowl aviadenovirus E		GCA_006436795.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
559438	RefSeq	NC_004678.1	2280	2762	+	NP_817303.1	hypothetical protein	Staphylococcus phage phi44AHJD		GCF_000843045.1
559438	RefSeq	NC_004679.1	2284	2766	+	NP_817324.1	hypothetical protein	Staphylococcus phage P68		GCF_000842185.1
559438	INSDC	AF513032.1	2280	2762	+	AAO83861.1	hypothetical protein	Staphylococcus phage phi44AHJD		GCA_000843045.1
559438	INSDC	AF513033.1	2284	2766	+	AAO83882.1	unknown	Staphylococcus phage P68		GCA_000842185.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
179291241	INSDC	NZGQ01000097.1	23546	24157	-	MAI05278.1	hypothetical protein	Methanobacteriota archaeon		GCA_002689565.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
135321730	INSDC	KY290956.1	76610	77416	-	APU01937.1	DNA end protector during packaging protein	Aeromonas phage L9-6		GCA_002618325.1
135321730	INSDC	KY290958.1	76146	76952	-	APU02435.1	DNA end protector during packaging protein	Aeromonas phage SW69-9		GCA_002618365.1
135321730	INSDC	OP380602.1	96058	96864	-	UYD59689.1	hypothetical protein	Aeromonas phage avDM5		GCA_032698325.1
135321730	INSDC	OP380605.1	166453	167259	+	UYD60581.1	hypothetical protein	Aeromonas phage avDM2		GCA_032698215.1
135321730	INSDC	OP380606.1	157128	157934	-	UYD60827.1	hypothetical protein	Aeromonas phage avDM1		GCA_032698165.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
179390461	INSDC	NZIR01000025.1	10184	10741	+	MAJ57753.1	hypothetical protein	Candidatus Pelagibacter sp.		GCA_002691705.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
7268054	INSDC	LC629463.1	149730	150077	+	BCU95600.1	hypothetical protein	uncultured marine virus		GCA_018443405.1
7268054	INSDC	EP419913.1	543	890	+	EBC39714.1	hypothetical protein	marine metagenome		
7268054	INSDC	EN825265.1	27	374	-	EBM96575.1	hypothetical protein	marine metagenome		
7268054	INSDC	EP674188.1	743	1090	-	EDF39017.1	hypothetical protein	marine metagenome		
7268054	INSDC	EP659460.1	2262	2609	-	EDF79634.1	hypothetical protein	marine metagenome		
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
179109378	INSDC	NZHF01000041.1	11859	12212	+	MAI82168.1	hypothetical protein	Gammaproteobacteria bacterium		GCA_002691305.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
254396104	RefSeq	NZ_BMVT01000042.1	43881	45494	+	WP_138909107.1	glycosyl hydrolase family 28-related protein	Streptomyces chryseus	JCM 4768	GCF_014650855.1
254396104	RefSeq	NZ_VBVY01000304.1	3049	4662	+	WP_138909107.1	glycosyl hydrolase family 28-related protein	Streptomyces chryseus	DSM 40431	GCF_005981965.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
918840955	RefSeq	NZ_JBIAJN010000016.1	107380	111174	-	WP_388741811.1	glycosyl hydrolase family 28-related protein	Streptomyces sp. NPDC005506	NPDC005506	GCF_042871985.1
918840955	INSDC	JBIAJN010000016.1	107380	111174	-	MFE9865860.1	glycosyl hydrolase family 28-related protein	Streptomyces sp. NPDC005506	NPDC005506	GCA_042871985.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
61479888	RefSeq	NC_025429.1	90925	91554	-	YP_009099867.1	DNA end protector	Rhizobium phage vB_RleM_P10VF		GCF_000925855.1
61479888	INSDC	KM199770.1	90925	91554	-	AIK68341.1	DNA end protector protein during packaging	Rhizobium phage vB_RleM_P10VF		GCA_000925855.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
227534600	RefSeq	NC_049968.1	7101	8021	-	YP_009910463.1	DNA terminal protein	Bacillus phage DK2		GCF_004135225.1
227534600	RefSeq	NC_049969.1	7470	8390	-	YP_009910510.1	DNA terminal protein	Bacillus phage DK3		GCF_004135245.1
227534600	INSDC	MK284527.1	7101	8021	-	AZU99771.1	terminal protein	Bacillus phage DK2		GCA_004135225.1
227534600	INSDC	MK284528.1	7470	8390	-	AZU99818.1	terminal protein	Bacillus phage DK3		GCA_004135245.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
34347902	RefSeq	NC_020845.1	106228	106692	+	YP_007673845.1	DNA end protector	Prochlorococcus phage MED4-213	MED4-213	GCF_000904535.1
34347902	INSDC	HQ634174.1	106228	106692	+	AGH26200.1	hypothetical protein	Prochlorococcus phage MED4-213	MED4-213	GCA_000904535.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
168147209	INSDC	PBYU01000030.1	5958	6563	+	MBT72005.1	hypothetical protein	Gammaproteobacteria bacterium		GCA_002730035.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
179660889	INSDC	NZZP01000035.1	456	986	+	MAR78155.1	hypothetical protein	Gammaproteobacteria bacterium		GCA_002698665.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
119617874	RefSeq	NC_031935.1	2993	3682	-	YP_009324168.1	DNA end protector protein	Synechococcus phage S-WAM2		GCF_001882115.1
119617874	INSDC	KU686211.1	2993	3682	-	AOV61700.1	DNA end protector protein	Synechococcus phage S-WAM2		GCA_001882115.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
93661138	INSDC	LNUB01000033.1	254887	255948	+	KAE9558774.1	hypothetical protein	Companilactobacillus kimchii	DSM 13961	GCA_009764365.1
93661138	INSDC	BJZB01000011.1	27622	28683	-	GEO47734.1	hypothetical protein	Companilactobacillus paralimentarius	NBRC 106466	GCA_007991815.1
93661138	INSDC	LNUB01000010.1	260526	261587	+	KAE9561003.1	hypothetical protein	Companilactobacillus kimchii	DSM 13961	GCA_009764365.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
292442590	INSDC	MN855763.1	108680	109678	-	QHJ78973.1	hypothetical protein	Caudoviricetes sp.		GCA_012593985.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
355715874	INSDC	JACNIA010000013.1	977	1489	-	MBC8429883.1	hypothetical protein	Pelagibacteraceae bacterium		GCA_014383385.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
450047565	INSDC	LC629478.1	36428	36778	+	BCU98818.1	hypothetical protein	Bellamyvirus sp.		GCA_018448665.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
165881104	INSDC	PAOR01000016.1	20535	20882	+	MBA41859.1	hypothetical protein	Flavobacteriaceae bacterium		GCA_002708545.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
233298	RefSeq	NC_002685.2	7467	12021	-	NP_077390.1	pTP	Bovine atadenovirus D	THT/62	GCF_000845805.1
233298	INSDC	AF036092.3	7467	12021	-	AAK13184.1	pTP	Bovine adenovirus 4	THT/62	GCA_000845805.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
722352615	INSDC	JAXFPW010000026.1	3178	3984	+	MDY5996077.1	hypothetical protein	Bacilli bacterium		GCA_034179605.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
478519139	INSDC	WSUB01000003.1	696724	700350	+	KAG8956018.1	hypothetical protein	Tulasnella sp. 424	424	GCA_019633425.1
478519139	INSDC	WSUC01000003.1	696738	700364	+	KAG8980512.1	hypothetical protein	Tulasnella sp. 425	425	GCA_019633485.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
404973466	INSDC	VGGS01000006.1	4260	4838	-	MBM3417389.1	hypothetical protein	Bacteroidota bacterium		GCA_016868525.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
754562954	INSDC	DATKZY010000271.1	2822	5113	-	HUT37491.1	glycosyl hydrolase family 28-related protein	Planctomycetota bacterium		GCA_035527715.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
456926647	INSDC	JABIPJ010000061.1	15253	15945	+	MBT6072472.1	hypothetical protein	Methanobacteriota archaeon		GCA_018698865.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
293015977	INSDC	RFPH01000020.1	377	784	+	NBW34590.1	hypothetical protein	Cytophagia bacterium		GCA_009926265.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
597883879	INSDC	ON923977.1	5119	6996	-	UZV41723.1	E2B preterminal protein	Adenovirus sp.	BEL_WW	GCA_026568055.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
389749390	INSDC	MT949699.1	81075	81914	-	QQM13896.1	DNA end protector	Acinetobacter phage Maestro		GCA_016653715.1
389749390	INSDC	MW388004.1	80954	81793	-	QQM18650.1	DNA end protector protein	Acinetobacter phage Morttis		GCA_016653955.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
615824911	INSDC	JAOJJN010000001.1	57077	57670	+	MDB4559066.1	hypothetical protein	bacterium		GCA_028259425.1
615824911	INSDC	JAOGSF010000004.1	58203	58796	-	MDA8866206.1	hypothetical protein	Porticoccaceae bacterium		GCA_028107765.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
108292965	RefSeq	NZ_BSSZ01000013.1	54947	55399	-	WP_063384088.1	hypothetical protein	Bacillus badius	NBRC 101633	GCF_030269245.1
108292965	RefSeq	NZ_CP082363.1	403031	403483	-	WP_063384088.1	hypothetical protein	Bacillus badius	NBPM-293	GCF_020002245.1
108292965	RefSeq	NZ_JARLVI010000042.1	10184	10636	+	WP_063384088.1	hypothetical protein	Bacillus badius	NRS-1586	GCF_036208225.1
108292965	RefSeq	NZ_LWDO01000011.1	10208	10660	+	WP_063384088.1	hypothetical protein	Bacillus badius	SGD-V-25	GCF_001630115.1
108292965	RefSeq	NZ_MAIG01000011.1	10208	10660	+	WP_063384088.1	hypothetical protein	Bacillus badius	SGD-V-25	GCF_001700275.1
108292965	RefSeq	NZ_MWMM01000014.1	10333	10785	+	WP_063384088.1	hypothetical protein	Bacillus badius	DSM 28241	GCF_002189605.1
108292965	RefSeq	NZ_SODB01000014.1	10333	10785	+	WP_063384088.1	hypothetical protein	Bacillus badius	V-25	GCF_004365825.1
108292965	INSDC	BSSZ01000013.1	54947	55399	-	GLY12492.1	hypothetical protein	Bacillus badius	NBRC 101633	GCA_030269245.1
108292965	INSDC	LWDO01000011.1	10208	10660	+	KZO00844.1	hypothetical protein	Bacillus badius	SGD-V-25	GCA_001630115.1
108292965	INSDC	JARLVI010000042.1	10184	10636	+	MED0668499.1	hypothetical protein	Bacillus badius	NRS-1586	GCA_036208225.1
108292965	INSDC	MAIG01000011.1	10208	10660	+	OCS88776.1	hypothetical protein	Bacillus badius	SGD-V-25	GCA_001700275.1
108292965	INSDC	MWMM01000014.1	10333	10785	+	OVE49581.1	hypothetical protein	Bacillus badius	DSM 28241	GCA_002189605.1
108292965	INSDC	SODB01000014.1	10333	10785	+	TDW00957.1	hypothetical protein	Bacillus badius	V-25	GCA_004365825.1
108292965	INSDC	CP082363.1	403031	403483	-	UAT31097.1	hypothetical protein	Bacillus badius	NBPM-293	GCA_020002245.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
356467526	RefSeq	NZ_JACSWY010000016.1	7219	9126	+	WP_187507283.1	glycosyl hydrolase family 28-related protein	Pantoea agglomerans	Pa39-14	GCF_014354055.1
356467526	RefSeq	NZ_JBDFMX010000001.1	2177425	2179332	+	WP_187507283.1	glycosyl hydrolase family 28-related protein	Pantoea agglomerans	Pa39-29	GCF_039671255.1
356467526	RefSeq	NZ_JBDFNC010000001.1	1887889	1889796	+	WP_187507283.1	glycosyl hydrolase family 28-related protein	Pantoea agglomerans	Pa39-14	GCF_039671375.1
356467526	RefSeq	NZ_JBDFNG010000001.1	2230922	2232829	+	WP_187507283.1	glycosyl hydrolase family 28-related protein	Pantoea agglomerans	Pa54-31	GCF_039671345.1
356467526	RefSeq	NZ_JBDFNK010000001.1	2231419	2233326	+	WP_187507283.1	glycosyl hydrolase family 28-related protein	Pantoea agglomerans	Pa54-1	GCF_039671505.1
