## Wed Mar 12 03:12:31 2025
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
HEY8985452.1	33898.JRHJ01000076_gene431	7.87e-28	125.0	29V63@1|root,30GJR@2|Bacteria,2GXP8@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CAD5240754.1	1206545.S6C337_9CAUD	5.92e-174	484.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AOC84064.1	190065.E9KL99_9ADEN	0.0	1298.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
MAI05278.1	1357423.S5MCZ1_9CAUD	2.55e-51	171.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
APU01937.1	115987.Q6U9G7_9CAUD	7.22e-196	542.0	4QH5K@10239|Viruses,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAJ57753.1	1283076.M1ICK9_9CAUD	6.34e-44	150.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BCU95600.1	268746.Q58MZ3_BPPRM	5.33e-39	133.0	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAI82168.1	444860.E3SIQ3_9CAUD	1.7e-38	132.0	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009099867.1	1636182.A0A0F6R7D8_9CAUD	2.88e-113	328.0	4QH5K@10239|Viruses,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAR78155.1	1283076.M1ICK9_9CAUD	3.18e-39	138.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009324168.1	238854.Q5GQD5_BPSYP	6.06e-100	296.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KAE9558774.1	60520.HR47_04400	4.89e-193	542.0	COG5434@1|root,COG5434@2|Bacteria,1VNJF@1239|Firmicutes,4HRXJ@91061|Bacilli	91061|Bacilli	M	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	F5_F8_type_C,Pectate_lyase_3
QHJ78973.1	1327935.A0A060AH56_9CAUD	1.18e-187	527.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BCU98818.1	444860.E3SIQ3_9CAUD	4.69e-70	212.0	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MBA41859.1	268746.Q58MZ3_BPPRM	5.51e-73	219.0	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NP_077390.1	70333.Q997I3_ADEB4	0.0	1167.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
KAG8956018.1	221103.XP_007847787.1	9.59e-272	776.0	2CNC5@1|root,2QV54@2759|Eukaryota,39S8X@33154|Opisthokonta,3NW2N@4751|Fungi,3V4CT@5204|Basidiomycota,22567@155619|Agaricomycetes,3W49R@5338|Agaricales	4751|Fungi	G	Glycoside hydrolase family 55 protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
MBM3417389.1	1357423.S5MCZ1_9CAUD	3.09e-44	152.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MBT6072472.1	115987.Q6U9G7_9CAUD	9.81e-37	137.0	4QH5K@10239|Viruses,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NBW34590.1	268746.Q58MZ3_BPPRM	5.51e-32	116.0	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UZV41723.1	10524.B5SNR7_ADE41	1.29e-304	847.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
QQM13896.1	760732.E5E4D6_9CAUD	1.12e-138	399.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MDB4559066.1	1357423.S5MCZ1_9CAUD	1.35e-64	204.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_187507283.1	1005994.GTGU_00319	4.7e-60	220.0	COG2755@1|root,COG2755@2|Bacteria	2|Bacteria	E	lipolytic protein G-D-S-L family	-	GO:0000272,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0006080,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010383,GO:0010391,GO:0010410,GO:0016052,GO:0016787,GO:0016788,GO:0017144,GO:0042737,GO:0043170,GO:0044036,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0045491,GO:0045493,GO:0046555,GO:0052689,GO:0071554,GO:0071704,GO:1901575,GO:2000884	-	-	-	-	-	-	-	-	-	-	CBM_2,Lipase_GDSL_2
MEC7807456.1	1589733.A0A0C5AIM2_9CAUD	2.29e-55	178.0	4QCA2@10239|Viruses,4QR42@28883|Caudovirales,4QIBD@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAR77710.1	268746.Q58MZ3_BPPRM	2.85e-39	134.0	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MDB9980541.1	1357423.S5MCZ1_9CAUD	1.1e-68	215.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RPG04967.1	1357423.S5MCZ1_9CAUD	3.48e-51	171.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AUR86065.1	279006.D9I685_9CAUD	8.08e-53	177.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NDB28677.1	1357423.S5MCZ1_9CAUD	5.81e-50	167.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
QEG05439.1	50948.Q7Y453_9CAUD	7.5e-160	452.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009047156.1	1520006.A0A075FAB0_9ADEN	0.0	1160.0	4QEN4@10239|Viruses	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
WP_124981651.1	1589733.A0A0C5AIM2_9CAUD	6.63e-114	326.0	4QCA2@10239|Viruses,4QR42@28883|Caudovirales,4QIBD@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_010790712.1	1788435.A0A1B0UHX2_9ADEN	2.48e-284	794.0	4QEN4@10239|Viruses	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
KAH0372502.1	430998.XP_007673774.1	0.0	963.0	2CNC5@1|root,2QV54@2759|Eukaryota,39S8X@33154|Opisthokonta,3NW2N@4751|Fungi,3RJC2@4890|Ascomycota,200FA@147541|Dothideomycetes,3MIJY@451867|Dothideomycetidae	4751|Fungi	G	Glycoside hydrolase family 55 protein	-	-	3.2.1.58	ko:K01210	ko00500,map00500	-	R00308,R03115	RC00467	ko00000,ko00001,ko01000	-	-	-	Pectate_lyase_3
MAD25438.1	238854.Q5GQD5_BPSYP	9.33e-95	283.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATI17395.1	1204516.I6XHI6_9CAUD	9.93e-242	664.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WNL51121.1	444860.E3SIQ3_9CAUD	6.49e-18	80.1	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NP_944079.1	227470.Q76YP0_9CAUD	1.21e-242	666.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
QUS52947.1	764030.X5M209_9ADEN	0.0	1162.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
CAB4170673.1	1357423.S5MCZ1_9CAUD	2.42e-48	163.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_249401800.1	33898.JRHJ01000001_gene707	1.85e-213	609.0	COG5434@1|root,COG5434@2|Bacteria,2I4GP@201174|Actinobacteria	201174|Actinobacteria	M	Parallel beta-helix repeats	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,Pectate_lyase_3
MBN75716.1	1357423.S5MCZ1_9CAUD	2.65e-59	191.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BAR30536.1	268746.Q58MZ3_BPPRM	4.04e-34	121.0	4QFVW@10239|Viruses,4QYZY@35237|dsDNA viruses  no RNA stage,4QTSZ@28883|Caudovirales,4QIFQ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAI17818.1	1357423.S5MCZ1_9CAUD	9.64e-47	159.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AXF41530.1	665032.C9DFY6_9CAUD	1.31e-54	181.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MCH2404531.1	1357423.S5MCZ1_9CAUD	4.15e-46	157.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAJ66271.1	1283076.M1ICK9_9CAUD	4.28e-42	146.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_009838247.1	1262513.K7YB85_9CAUD	3.8e-71	223.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MDB4331276.1	1357423.S5MCZ1_9CAUD	9.16e-74	228.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CAB4143210.1	1357423.S5MCZ1_9CAUD	1.66e-69	217.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YP_010107304.1	1636182.A0A0F6R7D8_9CAUD	7.99e-69	216.0	4QH5K@10239|Viruses,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MBM31233.1	1357423.S5MCZ1_9CAUD	1.2e-34	129.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NBP58283.1	1357423.S5MCZ1_9CAUD	7.26e-62	197.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NDG29042.1	1357423.S5MCZ1_9CAUD	1.8e-62	199.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NBP55030.1	1357423.S5MCZ1_9CAUD	8.38e-43	149.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NP_015538.1	573199.C3SAT9_9ADEN	6.74e-305	849.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
YP_007518314.1	994672.G0ZAH7_9ADEN	0.0	1228.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
WP_287009668.1	1357423.S5MCZ1_9CAUD	4.65e-43	149.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AOV58509.1	444861.E3SP93_9CAUD	7.44e-78	240.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales	28883|Caudovirales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
