Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP
A0A4Q0MDR8,,361.0,28.5,1.0,2.965e-08,175.0,671.0,339.0,0.5052160953800298,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,hAd2
A0A497F218,,190.0,18.9,1.0,5.574e-08,238.0,163.0,157.0,0.9631901840490796,Candidatus Verstraetearchaeota archaeon,2250257.0,AFDB50,FoldSeek,ABV
A0A1V5M048,,191.0,16.7,1.0,6.777e-08,224.0,163.0,143.0,0.8773006134969326,Firmicutes bacterium ADurb.Bin419,1852892.0,AFDB50,FoldSeek,ABV
J8L4N5,,248.0,22.1,1.0,9.994e-08,244.0,233.0,220.0,0.944206008583691,Bacillus cereus VD166,1053240.0,AFDB50,FoldSeek,AP50
A0A7X5N9X3,,574.0,10.8,1.0,1.553e-07,200.0,559.0,512.0,0.9159212880143112,Paenibacillus polymyxa,1406.0,AFDB50,FoldSeek,GC1
A0A2D6WY54,,181.0,22.6,1.0,3.001e-07,250.0,163.0,158.0,0.9693251533742332,archaeon,1906665.0,AFDB50,FoldSeek,DSL-LC02
A0A2M9X3F2,,184.0,19.0,1.0,5.068e-07,244.0,163.0,158.0,0.9693251533742332,Bacillus cereus,1396.0,AFDB50,FoldSeek,DSL-LC02
A0A5C1G5X2,,565.0,10.9,1.0,5.475e-07,176.0,559.0,512.0,0.9159212880143112,Bacillus mycoides,1405.0,AFDB50,FoldSeek,GC1
A0A825N1Q6,,158.0,20.8,1.0,7.188e-07,236.0,163.0,137.0,0.8404907975460123,Campylobacter coli,195.0,AFDB50,FoldSeek,DSL-LC02
UPI001E7A2975,,534.0,12.9,1.0,9.394e-07,158.0,559.0,432.0,0.7728085867620751,Haloarcula tailed virus 3,2877990.0,BFVD,FoldSeek,GC1
A0A4R7UAM2,,152.0,18.4,1.0,1.389e-06,255.0,233.0,141.0,0.6051502145922747,Lysinibacillus sp. YR326,1855296.0,AFDB50,FoldSeek,AP50
UPI001F14642D,,679.0,11.3,1.0,1.473e-06,130.0,559.0,510.0,0.9123434704830052,Serratia phage KpYy_2_45,2698928.0,BFVD,FoldSeek,GC1
A0A7V8L9C3,,164.0,16.4,1.0,1.649e-06,197.0,163.0,136.0,0.8343558282208589,Comamonas thiooxydans,363952.0,AFDB50,FoldSeek,ABV
A0A2K3J3T7,,178.0,19.6,1.0,1.721e-06,211.0,163.0,152.0,0.9325153374233128,Thermoplasmata archaeon M11B2D,1933281.0,AFDB50,FoldSeek,DSL-LC02
A0A5M0YKX1,,174.0,14.9,1.0,1.761e-06,202.0,163.0,148.0,0.9079754601226994,Campylobacter lari,201.0,AFDB50,FoldSeek,ABV
A0A4R7HF59,,521.0,13.4,1.0,2.209e-06,156.0,559.0,430.0,0.7692307692307693,Streptomyces sp. BK141,2512171.0,AFDB50,FoldSeek,GC1
A0A6G7R923,,662.0,11.1,1.0,2.209e-06,152.0,559.0,546.0,0.9767441860465116,Methylobacterium sp. NI91,2696058.0,AFDB50,FoldSeek,GC1
A0A843AB75,,187.0,16.0,1.0,2.965e-06,195.0,163.0,145.0,0.8895705521472392,Thermoplasmata archaeon,1906666.0,AFDB50,FoldSeek,ABV
A0A424TWP7,,186.0,19.3,1.0,3.462e-06,204.0,163.0,158.0,0.9693251533742332,Alteromonadaceae bacterium TMED7,1986650.0,AFDB50,FoldSeek,DSL-LC02
A0A6G0EU44,,641.0,11.3,1.0,4.338e-06,143.0,559.0,512.0,0.9159212880143112,Microbacterium algeriense,2615184.0,AFDB50,FoldSeek,GC1
A0A6I6M9A9,,172.0,16.2,1.0,6.479e-06,177.0,163.0,141.0,0.8650306748466258,Pseudoduganella flava,871742.0,AFDB50,FoldSeek,ABV
A0A6N3UDU0,,166.0,15.6,1.0,6.915e-06,171.0,163.0,138.0,0.8466257668711656,Pseudomonas sp.,306.0,AFDB50,FoldSeek,ABV
UPI00006CA333,,195.0,18.9,1.0,7.08e-06,243.0,307.0,187.0,0.6091205211726385,Salasvirus phi29,10756.0,BFVD,FoldSeek,DLc1
A0A7S9S4Y9,,130.0,20.7,1.0,7.877e-06,163.0,163.0,115.0,0.7055214723926381,Campylobacter concisus,199.0,AFDB50,FoldSeek,ABV
A0A4R7UAM2,,145.0,20.0,1.0,9.031e-06,249.0,245.0,141.0,0.5755102040816327,Lysinibacillus sp. YR326,1855296.0,AFDB50,FoldSeek,Bam35
A0A3T0K6Q9,,181.0,17.1,1.0,1.022e-05,154.0,163.0,142.0,0.8711656441717791,Cobetia sp. ICG0124,2053669.0,AFDB50,FoldSeek,ABV
A0A4S0ZS39,,638.0,11.7,1.0,1.067e-05,141.0,559.0,506.0,0.9051878354203936,bacterium M00.F.Ca.ET.156.01.1.1,2563902.0,AFDB50,FoldSeek,GC1
A0A497EMB0,,152.0,21.0,1.0,1.091e-05,164.0,163.0,129.0,0.7914110429447853,Candidatus Verstraetearchaeota archaeon,2250257.0,AFDB50,FoldSeek,ABV
A0A7X3W155,,184.0,11.4,1.0,1.243e-05,162.0,163.0,149.0,0.9141104294478528,Acidobacteriia bacterium,2081523.0,AFDB50,FoldSeek,ABV
A0A233V8F3,,190.0,15.2,1.0,1.327e-05,164.0,163.0,138.0,0.8466257668711656,Finegoldia magna,1260.0,AFDB50,FoldSeek,ABV
A0A268EC08,,137.0,16.7,1.0,1.359e-05,233.0,245.0,137.0,0.5591836734693878,Bacillus sp. 7586-K,2021690.0,AFDB50,FoldSeek,Sato
A0A2E8DKB2,,224.0,18.7,1.0,1.416e-05,149.0,163.0,144.0,0.8834355828220859,Flavobacteriaceae bacterium,1871037.0,AFDB50,FoldSeek,ABV
UPI000FF8750B,,668.0,9.4,1.0,1.599e-05,120.0,559.0,542.0,0.9695885509838998,Acinetobacter phage Fri1,1647373.0,BFVD,FoldSeek,GC1
UPI000974DA87,,760.0,10.3,1.0,1.599e-05,137.0,559.0,556.0,0.9946332737030412,Acinetobacter phage AP22,1187128.0,BFVD,FoldSeek,GC1
A0A8A5Z1U8,,684.0,10.6,1.0,1.915e-05,118.0,559.0,556.0,0.9946332737030412,Cohnella sp. LGH,1619153.0,AFDB50,FoldSeek,GC1
UPI00006CA333,,197.0,16.7,1.0,2.007e-05,220.0,313.0,186.0,0.5942492012779552,Salasvirus phi29,10756.0,BFVD,FoldSeek,LY3
A0A2D5YFZ5,,135.0,20.0,1.0,2.105e-05,227.0,163.0,113.0,0.6932515337423313,Porticoccaceae bacterium,2026782.0,AFDB50,FoldSeek,DSL-LC02
A0A0S2G4E3,,496.0,12.5,1.0,2.192e-05,154.0,559.0,425.0,0.7602862254025045,Lysobacter gummosus,262324.0,AFDB50,FoldSeek,GC1
A0A352EBP2,,166.0,13.2,1.0,2.234e-05,147.0,163.0,134.0,0.8220858895705522,Pseudomonas sp.,306.0,AFDB50,FoldSeek,ABV
A0A7Y1VQD3,,229.0,11.7,1.0,2.234e-05,153.0,163.0,154.0,0.9447852760736196,Acidimicrobiia bacterium,2080302.0,AFDB50,FoldSeek,ABV
A0A1I3F291,,476.0,11.3,1.0,2.624e-05,227.0,559.0,419.0,0.7495527728085868,Methylobacterium brachiatum,269660.0,AFDB50,FoldSeek,GC1
A0A7U9JPA3,,611.0,9.1,1.0,2.871e-05,138.0,559.0,525.0,0.9391771019677996,Burkholderia dolosa PC543,1385930.0,AFDB50,FoldSeek,GC1
A0A2N8BHL1,,170.0,17.0,1.0,2.899e-05,143.0,163.0,147.0,0.901840490797546,Pseudomonas sp. FW305-25,2070636.0,AFDB50,FoldSeek,ABV
A0A6M8WFB0,,164.0,14.0,1.0,3.094e-05,159.0,163.0,134.0,0.8220858895705522,Proteobacteria bacterium,1977087.0,AFDB50,FoldSeek,ABV
A0A268EC08,,147.0,21.0,1.0,3.624e-05,227.0,245.0,141.0,0.5755102040816327,Bacillus sp. 7586-K,2021690.0,AFDB50,FoldSeek,Bam35
A0A2J6NE06,,163.0,17.1,1.0,3.762e-05,158.0,163.0,154.0,0.9447852760736196,Candidatus Korarchaeota archaeon,2056630.0,AFDB50,FoldSeek,ABV
A0A6G2WQY9,,520.0,11.7,1.0,3.934e-05,134.0,559.0,446.0,0.7978533094812165,Streptomyces sp. SID8375,2690355.0,AFDB50,FoldSeek,GC1
A0A4R7JEJ8,,604.0,11.0,1.0,3.934e-05,145.0,559.0,507.0,0.9069767441860463,Streptomyces sp. BK447,2512159.0,AFDB50,FoldSeek,GC1
A0A4V1UIR9,,167.0,16.1,1.0,4.015e-05,149.0,163.0,135.0,0.8282208588957055,Chitinophagaceae bacterium,1869212.0,AFDB50,FoldSeek,ABV
A0A345C9M5,,581.0,8.6,1.0,4.502e-05,138.0,559.0,510.0,0.9123434704830052,Leclercia sp. W17,2282309.0,AFDB50,FoldSeek,GC1
A0A1I2MCS7,,629.0,9.8,1.0,4.502e-05,183.0,559.0,514.0,0.9194991055456172,Methylobacterium sp. yr596,1761800.0,AFDB50,FoldSeek,GC1
A0A825MRR2,,165.0,12.7,1.0,4.574e-05,126.0,163.0,150.0,0.9202453987730062,Campylobacter coli,195.0,AFDB50,FoldSeek,ABV
A0A7R7DB09,,164.0,15.2,1.0,4.882e-05,153.0,163.0,137.0,0.8404907975460123,Pseudomonas sp. RtIB026,2749999.0,AFDB50,FoldSeek,ABV
R6UE32,,145.0,18.6,1.0,4.882e-05,138.0,163.0,138.0,0.8466257668711656,Staphylococcus sp. CAG:324,1262969.0,AFDB50,FoldSeek,ABV
A0A268EC08,,144.0,14.5,1.0,4.997e-05,225.0,233.0,138.0,0.592274678111588,Bacillus sp. 7586-K,2021690.0,AFDB50,FoldSeek,AP50
UPI00006CA333,,205.0,14.1,1.0,5.07e-05,212.0,274.0,201.0,0.7335766423357665,Salasvirus phi29,10756.0,BFVD,FoldSeek,ctnWS46
A0A7K0B2K6,,122.0,17.2,1.0,5.21e-05,166.0,163.0,115.0,0.7055214723926381,Sphingobacterium faecium,34087.0,AFDB50,FoldSeek,ABV
A0A446Y4Q8,,199.0,12.5,1.0,5.21e-05,160.0,163.0,140.0,0.8588957055214724,Triticum turgidum subsp. durum,4567.0,AFDB50,FoldSeek,ABV
A0A848S859,,230.0,12.1,1.0,5.561e-05,125.0,163.0,160.0,0.98159509202454,Erythrobacter sp.,1042.0,AFDB50,FoldSeek,ABV
A0A1Z9KI75,,195.0,14.8,1.0,6.744e-05,170.0,163.0,158.0,0.9693251533742332,bacterium TMED181,1986654.0,AFDB50,FoldSeek,DSL-LC02
A0A7G6RSF9,,577.0,10.2,1.0,6.75e-05,189.0,559.0,495.0,0.8855098389982111,Rhizobium lusitanum,293958.0,AFDB50,FoldSeek,GC1
UPI001BEB43FE,,682.0,11.7,1.0,6.75e-05,106.0,559.0,530.0,0.9481216457960644,Klebsiella phage vB_KpnP_P184,2806547.0,BFVD,FoldSeek,GC1
A0A2R7SU39,,166.0,13.2,1.0,6.761e-05,149.0,163.0,134.0,0.8220858895705522,Pseudomonas sp. HMWF005,2056842.0,AFDB50,FoldSeek,ABV
A0A7Y0I0U1,,470.0,12.3,1.0,7.386e-05,157.0,559.0,438.0,0.7835420393559929,Novosphingobium sp. SG900,2587005.0,AFDB50,FoldSeek,GC1
A0A837YUN4,,139.0,15.8,1.0,9.687e-05,190.0,245.0,136.0,0.5551020408163265,Bacillus badius,1455.0,AFDB50,FoldSeek,Sato
A0A837YUN4,,144.0,14.5,1.0,0.0001094,197.0,233.0,138.0,0.592274678111588,Bacillus badius,1455.0,AFDB50,FoldSeek,AP50
A0A352H834,,199.0,11.5,1.0,0.0001215,127.0,163.0,132.0,0.8098159509202454,Erythrobacter sp.,1042.0,AFDB50,FoldSeek,ABV
A0A151FI30,,595.0,10.5,1.0,0.0001267,134.0,559.0,531.0,0.9499105545617174,Bradyrhizobium liaoningense,43992.0,AFDB50,FoldSeek,GC1
A0A359MF53,,135.0,17.0,1.0,0.0001297,128.0,163.0,117.0,0.7177914110429447,Flavobacteriaceae bacterium,1871037.0,AFDB50,FoldSeek,ABV
UPI001C77E64D,,502.0,12.5,1.0,0.0001387,119.0,559.0,379.0,0.6779964221824687,Arthrobacter phage Kardesai,2859474.0,BFVD,FoldSeek,GC1
A0A359ITG1,,197.0,15.7,1.0,0.0001577,133.0,163.0,145.0,0.8895705521472392,Propionibacteriaceae bacterium,2021380.0,AFDB50,FoldSeek,ABV
UPI001C77E759,,543.0,10.4,1.0,0.0001587,108.0,559.0,433.0,0.774597495527728,Escherichia phage U1G,2853091.0,BFVD,FoldSeek,GC1
A0A1P8QQ40,,585.0,11.6,1.0,0.0001587,133.0,559.0,508.0,0.9087656529516994,Methylorubrum extorquens,408.0,AFDB50,FoldSeek,GC1
A0A2D6WY54,,159.0,15.7,1.0,0.0001756,187.0,115.0,110.0,0.9565217391304348,archaeon,1906665.0,AFDB50,FoldSeek,S-SCSM1
A0A2N2UGX2,,163.0,17.7,1.0,0.0001917,138.0,163.0,131.0,0.803680981595092,Betaproteobacteria bacterium HGW-Betaproteobacteria-15,2013706.0,AFDB50,FoldSeek,ABV
A0A837YUN4,,151.0,18.5,1.0,0.0001921,179.0,245.0,141.0,0.5755102040816327,Bacillus badius,1455.0,AFDB50,FoldSeek,Bam35
A0A1Q8UWU9,,539.0,11.3,1.0,0.0001988,126.0,559.0,397.0,0.7101967799642218,Alkalihalophilus pseudofirmus,79885.0,AFDB50,FoldSeek,GC1
A0A1D3DDZ2,,673.0,8.9,1.0,0.0002079,109.0,559.0,529.0,0.9463327370304114,Shigella sp. FC1655,1898038.0,AFDB50,FoldSeek,GC1
A0A519JK13,,172.0,13.9,1.0,0.0002184,144.0,163.0,140.0,0.8588957055214724,Haliea sp.,1932666.0,AFDB50,FoldSeek,ABV
A0A4Q5VM93,,130.0,14.6,1.0,0.0002331,147.0,163.0,115.0,0.7055214723926381,Comamonadaceae bacterium,1871071.0,AFDB50,FoldSeek,ABV
R7KBT5,,156.0,15.3,1.0,0.0002331,143.0,163.0,120.0,0.7361963190184049,Clostridium sp. CAG:451,1262809.0,AFDB50,FoldSeek,ABV
A0A345CE54,,586.0,10.4,1.0,0.0002379,128.0,559.0,510.0,0.9123434704830052,Leclercia sp. W17,2282309.0,AFDB50,FoldSeek,GC1
A0A1W7M1M5,,265.0,14.7,1.0,0.000257,173.0,273.0,253.0,0.9267399267399268,Clostridium beijerinckii,1520.0,AFDB50,FoldSeek,WhyPhy
A0A359MDL2,,170.0,13.5,1.0,0.0002573,181.0,163.0,132.0,0.8098159509202454,Flavobacteriaceae bacterium,1871037.0,AFDB50,FoldSeek,DSL-LC02
A0A2N2BBT5,,556.0,8.9,1.0,0.0002604,114.0,559.0,446.0,0.7978533094812165,Firmicutes bacterium HGW-Firmicutes-5,2013786.0,AFDB50,FoldSeek,GC1
A0A7T9FV53,,170.0,13.5,1.0,0.0002834,128.0,163.0,147.0,0.901840490797546,Ignavibacteriales bacterium,2049428.0,AFDB50,FoldSeek,ABV
A0A825N1Q6,,159.0,16.9,1.0,0.0002998,176.0,115.0,112.0,0.9739130434782608,Campylobacter coli,195.0,AFDB50,FoldSeek,S-SCSM1
A0A147FSB9,,550.0,11.6,1.0,0.0003117,150.0,559.0,435.0,0.778175313059034,Methylobacterium indicum,1775910.0,AFDB50,FoldSeek,GC1
A0A6B1I1A8,,166.0,14.4,1.0,0.0003229,112.0,163.0,144.0,0.8834355828220859,Rhodospirillaceae bacterium,1898112.0,AFDB50,FoldSeek,ABV
A0A840ZYT8,,464.0,15.5,1.0,0.000326,157.0,559.0,376.0,0.6726296958855098,Methylorubrum rhodesianum,29427.0,AFDB50,FoldSeek,GC1
A0A7L7MLS5,,528.0,10.7,1.0,0.000341,106.0,559.0,468.0,0.8372093023255814,Brucella sp. BO3,2691913.0,AFDB50,FoldSeek,GC1
A0A836DKX4,,438.0,10.2,0.999,0.000341,97.0,559.0,376.0,0.6726296958855098,Salix suchowensis,1278906.0,AFDB50,FoldSeek,GC1
A0A7L4Q0N8,,172.0,15.1,1.0,0.0003678,121.0,163.0,152.0,0.9325153374233128,Methanosarcinales archaeon,2250255.0,AFDB50,FoldSeek,ABV
A0A8A6K8G8,,141.0,13.4,1.0,0.0003926,111.0,163.0,126.0,0.7730061349693251,Roseomonas marmotae,2768161.0,AFDB50,FoldSeek,ABV
A0A6M0YKX8,,149.0,16.1,1.0,0.0003926,116.0,163.0,131.0,0.803680981595092,Clostridium botulinum,1491.0,AFDB50,FoldSeek,ABV
A0A446RV51,,497.0,12.6,1.0,0.0004083,113.0,559.0,429.0,0.7674418604651163,Triticum turgidum subsp. durum,4567.0,AFDB50,FoldSeek,GC1
A0A3B6W1S6,,153.0,13.0,1.0,0.0004773,124.0,163.0,139.0,0.852760736196319,Burkholderia pseudomallei,28450.0,AFDB50,FoldSeek,ABV
A0A7W7ES39,,669.0,11.0,1.0,0.0005348,110.0,559.0,539.0,0.964221824686941,Sphingomonas yabuuchiae,172044.0,AFDB50,FoldSeek,GC1
A0A6I9YVI6,,247.0,10.9,1.0,0.0005804,129.0,163.0,132.0,0.8098159509202454,Thamnophis sirtalis,35019.0,AFDB50,FoldSeek,ABV
A0A5N7TZM3,,222.0,12.6,1.0,0.0006194,119.0,163.0,145.0,0.8895705521472392,Acinetobacter sp.,472.0,AFDB50,FoldSeek,ABV
A0A2T5NZ93,,164.0,7.9,1.0,0.0006611,120.0,163.0,139.0,0.852760736196319,Chromobacterium haemolyticum,394935.0,AFDB50,FoldSeek,ABV
R7ML17,,159.0,12.5,1.0,0.0007056,116.0,163.0,142.0,0.8711656441717791,Ruminococcus sp. CAG:624,1262965.0,AFDB50,FoldSeek,ABV
A0A670Z3M5,,227.0,9.2,0.999,0.0007056,97.0,163.0,151.0,0.9263803680981596,Pseudonaja textilis,8673.0,AFDB50,FoldSeek,ABV
A0A1W7M1M5,,266.0,14.2,1.0,0.0007317,165.0,266.0,256.0,0.962406015037594,Clostridium beijerinckii,1520.0,AFDB50,FoldSeek,phi29
A0A840XA00,,570.0,9.4,1.0,0.0007329,106.0,559.0,444.0,0.7942754919499105,Komagataeibacter kakiaceti,943261.0,AFDB50,FoldSeek,GC1
A9TR30,,492.0,9.5,0.999,0.0007329,96.0,559.0,388.0,0.6940966010733453,Physcomitrium patens,3218.0,AFDB50,FoldSeek,GC1
UPI00006CA333,,203.0,14.7,1.0,0.0007705,163.0,255.0,188.0,0.7372549019607844,Salasvirus phi29,10756.0,BFVD,FoldSeek,PineapplePizza
A0A2E5YUE1,,151.0,15.8,1.0,0.0007779,177.0,163.0,148.0,0.9079754601226994,Euryarchaeota archaeon,2026739.0,AFDB50,FoldSeek,DSL-LC02
A0A8A3R5J8,,479.0,10.0,1.0,0.0008019,104.0,559.0,391.0,0.6994633273703041,Paenarthrobacter ureafaciens,37931.0,AFDB50,FoldSeek,GC1
D3ZLE0,,227.0,10.1,0.996,0.0008048,90.0,163.0,151.0,0.9263803680981596,Rattus norvegicus,10116.0,AFDB-Proteome,FoldSeek,ABV
A0A846LX61,,200.0,12.5,1.0,0.0008579,107.0,163.0,156.0,0.9570552147239264,Auritidibacter ignavus,678932.0,AFDB50,FoldSeek,ABV
UPI001C7429C8,,382.0,14.9,1.0,0.0008773,101.0,559.0,354.0,0.6332737030411449,Escherichia phage U1G,2853091.0,BFVD,FoldSeek,GC1
A0A0L1C4W2,,436.0,13.0,1.0,0.00096,168.0,559.0,391.0,0.6994633273703041,Escherichia coli,562.0,AFDB50,FoldSeek,GC1
A0A1Q3ND50,,137.0,16.0,1.0,0.0009773,117.0,163.0,117.0,0.7177914110429447,Solirubrobacterales bacterium 67-14,1895832.0,AFDB50,FoldSeek,ABV
A0A7J4F2E4,,425.0,12.2,1.0,0.00105,159.0,559.0,403.0,0.7209302325581395,Thermoplasmata archaeon,1906666.0,AFDB50,FoldSeek,GC1
A0A2N3Z1R9,,640.0,14.2,1.0,0.001099,127.0,559.0,543.0,0.9713774597495528,Micromonospora sp. CNZ309,2035247.0,AFDB50,FoldSeek,GC1
R7EWS7,,157.0,12.7,1.0,0.001113,123.0,163.0,122.0,0.7484662576687117,Bacillus sp. CAG:988,1262708.0,AFDB50,FoldSeek,ABV
A0A7S9Y9Y6,,166.0,10.8,1.0,0.001188,105.0,163.0,129.0,0.7914110429447853,Weissella paramesenteroides,1249.0,AFDB50,FoldSeek,ABV
A0A2G2CWH4,,174.0,9.7,0.999,0.001188,97.0,163.0,163.0,1.0,Sphingopyxis sp.,1908224.0,AFDB50,FoldSeek,ABV
A0A1W7M1M5,,304.0,12.8,1.0,0.001215,117.0,313.0,290.0,0.926517571884984,Clostridium beijerinckii,1520.0,AFDB50,FoldSeek,LY3
UPI000018F646,,138.0,14.4,0.975,0.001248,77.0,163.0,116.0,0.7116564417177914,Rhodothermus phage RM378,148943.0,BFVD,FoldSeek,ABV
UPI000F044F06,,566.0,9.3,1.0,0.001315,113.0,559.0,446.0,0.7978533094812165,Acinetobacter phage vB_AbaP_AS12,1932885.0,BFVD,FoldSeek,GC1
A0A6C2DM62,,577.0,11.6,1.0,0.001439,129.0,559.0,422.0,0.7549194991055456,Enterobacter sp. Z1,2561927.0,AFDB50,FoldSeek,GC1
A0A354LTD1,,174.0,12.6,1.0,0.001445,133.0,163.0,121.0,0.7423312883435583,Erysipelotrichaceae bacterium,2049044.0,AFDB50,FoldSeek,ABV
A0A561I1Q3,,103.0,15.5,1.0,0.001646,140.0,163.0,100.0,0.6134969325153374,Chitinophaga pinensis,79329.0,AFDB50,FoldSeek,ABV
