Unnamed: 0,Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP,superkingdom,realm,kingdom,phylum,class,order,family,genus,species,GenomeID,Cluster,Representative_ID,Cluster_Identity,Rep_Synonym_ID,Synonym_Identity,Synomym_E-value,Synonym_Bit-Score,IPG_ID,IPG_Synonym,IPG_len,IPG_Function,eggNOG_Annotation,COG_Category,Reference_GenomeID,IPG_Start,IPG_Stop,IPG_Strand,IPG_Organism,Assembly,Viral_Presence,PHROG_Nr_ORF,Min_Abs_Distance_TP,Mean_Distance_TP,Median_Distance_TP,pPolB,pPolB_distance,Polymerase,Pol_distance
10,WZB38155.1,WZB38155.1,572,33.217,1.0,0.0,586.0,684,557,0.814327485380117,Bat mastadenovirus,740971,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bat mastadenovirus,WZB38155.1,0.0,NP_044190.1,61.51,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
11,BCZ16696.1,BCZ16696.1,566,62.898,1.0,0.0,624.0,684,557,0.814327485380117,Owl adenovirus,2853431,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Owl adenovirus,BCZ16696.1,11.0,AIS19786.1,71.18,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
12,UPO25000.1,UPO25000.1,570,79.649,1.0,0.0,794.0,679,560,0.824742268041237,Fowl aviadenovirus D,190064,nr,PSI-BLAST,FAdV-8,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus D,UPO25000.1,10.0,XBY87759.1,66.85,XBY87759.1,100.0,0.0,,859864533.0,XBY87759.1,2115.0,pTP protein,Adenoviral DNA terminal protein,S,OR096706.1,12031.0,14145.0,-,Psittacine aviadenovirus B,,,2.0,1.0,11.5,11.5,N,,-,
13,DBA48924.1,DBA48924.1,588,33.163,1.0,0.0,609.0,684,573,0.837719298245614,Adenovirus bat33390,3115874,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,,Adenovirus bat33390,DBA48924.1,0.0,NP_044190.1,62.52,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
14,WXG22478.1,WXG22478.1,594,31.313,1.0,0.0,629.0,684,579,0.846491228070175,Bat mastadenovirus,740971,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bat mastadenovirus,OR998761.1,0.0,NP_044190.1,60.88,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
15,WXG22698.1,WXG22698.1,594,31.313,1.0,0.0,643.0,684,579,0.846491228070175,Bat mastadenovirus,740971,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bat mastadenovirus,OR998897.1,0.0,NP_044190.1,64.11,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
16,WRQ19845.1,WRQ19845.1,596,31.544,1.0,0.0,631.0,684,581,0.849415204678363,unidentified adenovirus,10535,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,unidentified adenovirus,WRQ19845.1,0.0,NP_044190.1,63.62,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
17,WXG22732.1,WXG22732.1,600,31.167,1.0,0.0,656.0,684,581,0.849415204678363,Bat mastadenovirus,740971,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bat mastadenovirus,WXG22732.1,0.0,NP_044190.1,80.11,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
18,YP_009388312.1,YP_009388312.1,598,29.766,1.0,0.0,593.0,684,581,0.849415204678363,Bat mastadenovirus WIV18,1986506,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Mastadenovirus pteropodidae,YP_009388312.1,96.0,YP_010790712.1,79.68,YP_010790712.1,100.0,0.0,,197933937.0,YP_010790712.1,4451.0,pre-terminal protein,Adenoviral DNA terminal protein,S,NC_075453.1,7892.0,12342.0,-,Eidolon helvum adenovirus,GCF_006425395.1,,2.0,1.0,7.5,7.5,N,,-,
19,XBH23610.1,XBH23610.1,601,32.779,1.0,0.0,644.0,684,581,0.849415204678363,Taphozous bat adenovirus,3141934,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,,Taphozous bat adenovirus,XBH23610.1,0.0,NP_044190.1,75.13,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
20,NP_050282.1,NP_050282.1,613,56.117,1.0,0.0,590.0,684,582,0.850877192982456,Fowl aviadenovirus D,190064,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus D,NP_050282.1,11.0,AIS19786.1,69.74,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
21,AYC35462.1,AYC35462.1,622,56.27,1.0,0.0,602.0,684,582,0.850877192982456,Fowl adenovirus 8b,586029,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus E,AYC35462.1,23.0,AOC84064.1,65.32,AOC84064.1,100.0,0.0,,115142531.0,AOC84064.1,2211.0,pTP protein,Adenoviral DNA terminal protein,S,KX258422.1,11243.0,13453.0,-,Fowl aviadenovirus E,GCA_006436795.1,,2.0,1.0,-5.5,-5.5,Y,-1.0,phrog_1907,-1.0
22,NP_108659.1,NP_108659.1,601,31.281,1.0,0.0,628.0,684,583,0.85233918128655,Porcine adenovirus 5,45370,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Mastadenovirus porcusquintum,NP_108659.1,0.0,NP_044190.1,65.95,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
23,YP_010796273.1,YP_010796273.1,623,32.424,1.0,0.0,577.0,684,583,0.85233918128655,Guinea pig adenovirus,47901,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Guinea pig adenovirus,YP_010796273.1,1295.0,YP_010796273.1,100.0,YP_010796273.1,100.0,0.0,,313391931.0,YP_010796273.1,1884.0,pre-terminal protein,Adenoviral DNA terminal protein,S,NC_075973.1,8822.0,10705.0,-,Guinea pig adenovirus,GCF_012552665.1,N,,,,,,,,
24,QRV11644.1,QRV11644.1,597,30.318,1.0,0.0,632.0,684,583,0.85233918128655,Bat mastadenovirus,740971,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bat mastadenovirus,QRV11644.1,0.0,NP_044190.1,65.11,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
25,WXG22927.1,WXG22927.1,603,29.519,1.0,0.0,574.0,684,583,0.85233918128655,Bat mastadenovirus,740971,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bat mastadenovirus,OR998962.1,1912.0,WXG22927.1,100.0,WXG22927.1,100.0,0.0,,823318090.0,WXG22927.1,1683.0,hypothetical protein,Adenoviral DNA terminal protein,S,OR998962.1,24331.0,26013.0,+,Bat mastadenovirus,,,1.0,1.0,1.0,1.0,Y,1.0,phrog_1907,1.0
26,AEK79911.1,AEK79911.1,602,30.897,1.0,0.0,636.0,684,583,0.85233918128655,Human adenovirus 61,1069441,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,AEK79911.1,0.0,NP_044190.1,61.95,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
27,XCK17000.1,XCK17000.1,620,31.129,1.0,0.0,608.0,684,583,0.85233918128655,Simian mastadenovirus,3075435,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Simian mastadenovirus,XCK17000.1,2.0,AFD22004.1,72.7,AFD22004.1,100.0,0.0,,27156601.0,AFD22004.1,5184.0,pre-terminal protein,Adenoviral DNA terminal protein,S,JN880452.1,8420.0,13603.0,-,Simian adenovirus A1285,GCA_006446335.1,N,,,,,,,,
28,QQD36934.1,QQD36934.1,601,50.083,1.0,0.0,585.0,684,588,0.859649122807018,Pacific black duck aviadenovirus,2798287,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Pacific black duck aviadenovirus,QQD36934.1,89.0,YP_009047156.1,69.49,YP_009047156.1,100.0,0.0,,58856988.0,YP_009047156.1,4625.0,pTP,Adenoviral DNA terminal protein,S,NC_024486.1,10092.0,14716.0,-,Duck adenovirus 2,GCF_000923915.1,,2.0,1.0,-4.0,-4.0,Y,-1.0,phrog_1907,-1.0
29,UKS51808.1,UKS51808.1,602,61.296,1.0,0.0,650.0,684,592,0.865497076023392,Falcon aviadenovirus A,692069,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Falcon aviadenovirus A,UKS51808.1,11.0,AIS19786.1,68.22,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
30,WP_202259074.1,WP_202259074.1,499,24.048,1.0,0.0,602.0,559,485,0.867620751341682,Gluconobacter sphaericus,574987,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,Gluconobacter sphaericus,,9.0,WP_061511719.1,89.39,WP_061511719.1,100.0,0.0,,105244891.0,WP_061511719.1,1587.0,hypothetical protein,,,NZ_LHZM01000090.1,9001.0,10587.0,-,Gluconobacter thailandicus,GCF_001580835.1,,66.0,4.0,227.7121212121212,197.5,N,,-,
31,P12541.2,P12541.2,613,30.016,1.0,0.0,636.0,684,594,0.868421052631579,Human adenovirus 12,28282,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,,2.0,AFD22004.1,65.18,AFD22004.1,100.0,0.0,,27156601.0,AFD22004.1,5184.0,pre-terminal protein,Adenoviral DNA terminal protein,S,JN880452.1,8420.0,13603.0,-,Simian adenovirus A1285,GCA_006446335.1,N,,,,,,,,
32,WPS63612.1,WPS63612.1,608,59.375,1.0,0.0,624.0,684,595,0.869883040935672,Aviadenovirus sp.,2217649,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Aviadenovirus sp.,WPS63612.1,11.0,AIS19786.1,65.3,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
33,WP_225199382.1,WP_225199382.1,502,23.307,1.0,0.0,574.0,559,487,0.871198568872988,Gluconobacter oxydans,442,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,,9.0,WP_061511719.1,77.27,WP_061511719.1,100.0,0.0,,105244891.0,WP_061511719.1,1587.0,hypothetical protein,,,NZ_LHZM01000090.1,9001.0,10587.0,-,Gluconobacter thailandicus,GCF_001580835.1,,66.0,4.0,227.7121212121212,197.5,N,,-,
34,WP_061511719.1,WP_061511719.1,502,24.104,1.0,0.0,597.0,559,488,0.87298747763864,Gluconobacter thailandicus,257438,nr,PSI-BLAST,GC1,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,Gluconobacter thailandicus,,9.0,WP_061511719.1,100.0,WP_061511719.1,100.0,0.0,,105244891.0,WP_061511719.1,1587.0,hypothetical protein,,,NZ_LHZM01000090.1,9001.0,10587.0,-,Gluconobacter thailandicus,GCF_001580835.1,,66.0,4.0,227.7121212121212,197.5,N,,-,
35,AIS19786.1,AIS19786.1,611,57.283,1.0,0.0,624.0,684,598,0.874269005847953,Fowl aviadenovirus C,190063,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,AIS19786.1,11.0,AIS19786.1,100.0,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
36,WXH80975.1,WXH80975.1,629,61.526,1.0,0.0,673.0,684,603,0.881578947368421,Psittacine adenovirus 12,3134257,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Psittacine adenovirus 12,WXH80975.1,10.0,XBY87759.1,87.38,XBY87759.1,100.0,0.0,,859864533.0,XBY87759.1,2115.0,pTP protein,Adenoviral DNA terminal protein,S,OR096706.1,12031.0,14145.0,-,Psittacine aviadenovirus B,,,2.0,1.0,11.5,11.5,N,,-,
37,YP_010799986.1,YP_010799986.1,614,58.143,1.0,0.0,653.0,684,607,0.887426900584795,Southern Psittacara leucophthalmus aviadenovirus,2604330,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Aviadenovirus leucophthalmi,YP_010799986.1,11.0,AIS19786.1,63.1,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
38,WZK92829.1,WZK92829.1,629,31.32,1.0,0.0,644.0,684,607,0.887426900584795,Pipistrellus pipistrellus adenovirus,3140007,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,,Pipistrellus pipistrellus adenovirus,PP410068.1,0.0,NP_044190.1,60.7,NP_044190.1,100.0,0.0,,799678.0,NP_044190.1,2172.0,hypothetical protein,Adenoviral DNA terminal protein,S,NC_001734.1,7850.0,10021.0,-,Canine mastadenovirus A,GCF_000845925.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
39,NP_046315.1,NP_046315.1,634,30.442,1.0,0.0,628.0,684,609,0.890350877192982,Bovine adenovirus 3,10510,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B,NP_046315.1,1283.0,NP_046315.1,100.0,NP_046315.1,100.0,0.0,,1148413.0,NP_046315.1,1950.0,terminal protein,Adenoviral DNA terminal protein,S,NC_001876.1,8009.0,9958.0,-,Bovine adenovirus 3,GCF_000844245.1,,1.0,1.0,-1.0,-1.0,Y,-1.0,phrog_1907,-1.0
40,BBJ21541.1,BBJ21541.1,613,48.124,1.0,0.0,599.0,684,609,0.890350877192982,Crane-associated adenovirus 1,2559941,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,,Crane-associated adenovirus 1,BBJ21541.1,1973.0,BBJ21541.1,100.0,BBJ21541.1,100.0,0.0,,274630941.0,BBJ21541.1,5098.0,terminal protein precursor pTP,Adenoviral DNA terminal protein,S,LC469780.1,7377.0,12474.0,-,Crane-associated adenovirus 1,GCA_008894285.1,,2.0,1.0,1.5,1.5,Y,-1.0,phrog_1907,-1.0
