## Fri Mar 14 12:04:33 2025
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jdobjkpu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jdobjkpu --override -m novel_fams --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_jdobjkpu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none
##
query	target	evalue	score	novel_fam	best_neigh_predicted_pathways	best_neigh_score	plddt	best_structural_pdb_matches	best_pdb_evalue	best_structural_uniprot_matches	best_uniprot_evalue	has_signal_peptide	has_TM_domains	is_AMP
DAM29426.1	GMGBhq@GMBC10.023_453@GMBC10.023_453_01108@d__Bacteria|p__Firmicutes	1.96e-59	192.0	NOVTOAE9	-	-	-	-	-	-	-	False	False	False
DAK66860.1	GMGBhq@GMBC10.004_840@GMBC10.004_840_00737@d__Bacteria|p__Firmicutes	4.84e-42	147.0	NOVTOAE9	-	-	-	-	-	-	-	False	False	False
DAE89209.1	GMGBhq@GMBC10.032_528@GMBC10.032_528_02266@d__Bacteria|p__Firmicutes	2.64e-159	445.0	NOVTOAE9	-	-	-	-	-	-	-	False	False	False
MCK4382741.1	GTDBiso@GB_GCA_005223125@NJBH01000010.1_33@d__Archaea|p__Asgardarchaeota	1.69e-136	387.0	NOVQVVKF	-	-	-	-	-	-	-	False	False	False
MBO7694214.1	GMGBhq@GMBC10.039_862@GMBC10.039_862_00853@d__Bacteria|p__Firmicutes	9.32e-97	289.0	NOVRBAUE	-	-	-	-	-	-	-	False	False	False
MBO7716198.1	GMGBhq@GMBC10.039_862@GMBC10.039_862_02000@d__Bacteria|p__Firmicutes	1.53e-11	68.2	NOVRBAUE	-	-	-	-	-	-	-	False	False	False
QAU04553.1	GEM@3300000200_3@3300000200_3_00105@d__Bacteria|p__Campylobacterota	1.43e-25	108.0	NOVBYDJM	-	-	85.1	-	-	Zinc finger protein 521|230	0.0002338	False	False	False
YP_004934471.1	GEM@3300013123_163@3300013123_163_00017@d__Bacteria|p__Patescibacteria	2.1e-51	171.0	NOVG0224	-	-	68.3	SET and RING associated domain-containing protein|229	0.0008771	-	-	False	False	False
TXT63892.1	GTDBiso@GB_GCA_004524535@SDNY01000009.1_33@d__Archaea|p__Asgardarchaeota	4.68e-84	254.0	NOVQVVKF	-	-	-	-	-	-	-	False	False	False
DAR38304.1	GEM@3300002168_35@3300002168_35_00033@d__Bacteria|p__Firmicutes	1.17e-132	413.0	NOVG0224	-	-	68.3	SET and RING associated domain-containing protein|229	0.0008771	-	-	False	False	False
ARF12305.1	GEM@3300025708_46@3300025708_46_00021@d__Bacteria|p__Firmicutes_A	4.5e-13	72.8	NOVBYDJM	-	-	85.1	-	-	Zinc finger protein 521|230	0.0002338	False	False	False
## 41 queries scanned
## Total time (seconds): 51.712791204452515
## Rate: 0.79 q/s
