Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP
WXG22927.1,WXG22927.1,603.0,29.519,1.0,0.0,574.0,684.0,583.0,0.8523391812865497,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
QQD36934.1,QQD36934.1,601.0,50.083,1.0,0.0,585.0,684.0,588.0,0.8596491228070176,Pacific black duck aviadenovirus,2798287.0,nr,PSI-BLAST,PiAdV-1
UKS51808.1,UKS51808.1,602.0,61.296,1.0,0.0,650.0,684.0,592.0,0.8654970760233918,Falcon aviadenovirus A,692069.0,nr,PSI-BLAST,PiAdV-1
WP_202259074.1,WP_202259074.1,499.0,24.048,1.0,0.0,602.0,559.0,485.0,0.8676207513416816,Gluconobacter sphaericus,574987.0,nr,PSI-BLAST,GC1
P12541.2,P12541.2,613.0,30.016,1.0,0.0,636.0,684.0,594.0,0.868421052631579,Human adenovirus 12,28282.0,nr,PSI-BLAST,PiAdV-1
WPS63612.1,WPS63612.1,608.0,59.375,1.0,0.0,624.0,684.0,595.0,0.8698830409356725,Aviadenovirus sp.,2217649.0,nr,PSI-BLAST,PiAdV-1
WP_225199382.1,WP_225199382.1,502.0,23.307,1.0,0.0,574.0,559.0,487.0,0.8711985688729875,Gluconobacter oxydans,442.0,nr,PSI-BLAST,GC1
WP_061511719.1,WP_061511719.1,502.0,24.104,1.0,0.0,597.0,559.0,488.0,0.8729874776386404,Gluconobacter thailandicus,257438.0,nr,PSI-BLAST,GC1
AIS19786.1,AIS19786.1,611.0,57.283,1.0,0.0,624.0,684.0,598.0,0.8742690058479532,Fowl aviadenovirus C,190063.0,nr,PSI-BLAST,PiAdV-1
WXH80975.1,WXH80975.1,629.0,61.526,1.0,0.0,673.0,684.0,603.0,0.881578947368421,Psittacine adenovirus 12,3134257.0,nr,PSI-BLAST,PiAdV-1
YP_010799986.1,YP_010799986.1,614.0,58.143,1.0,0.0,653.0,684.0,607.0,0.8874269005847953,Southern Psittacara leucophthalmus aviadenovirus,2604330.0,nr,PSI-BLAST,PiAdV-1
WZK92829.1,WZK92829.1,629.0,31.32,1.0,0.0,644.0,684.0,607.0,0.8874269005847953,Pipistrellus pipistrellus adenovirus,3140007.0,nr,PSI-BLAST,PiAdV-1
NP_046315.1,NP_046315.1,634.0,30.442,1.0,0.0,628.0,684.0,609.0,0.8903508771929824,Bovine adenovirus 3,10510.0,nr,PSI-BLAST,PiAdV-1
BBJ21541.1,BBJ21541.1,613.0,48.124,1.0,0.0,599.0,684.0,609.0,0.8903508771929824,Crane-associated adenovirus 1,2559941.0,nr,PSI-BLAST,PiAdV-1
YP_009047156.1,YP_009047156.1,620.0,53.71,1.0,0.0,618.0,684.0,610.0,0.8918128654970761,Duck adenovirus 2,1520006.0,nr,PSI-BLAST,PiAdV-1
YP_006383557.1,YP_006383557.1,617.0,55.105,1.0,0.0,614.0,684.0,610.0,0.8918128654970761,Goose adenovirus 4,1193422.0,nr,PSI-BLAST,PiAdV-1
DBA51401.1,DBA51401.1,632.0,31.962,1.0,0.0,675.0,684.0,610.0,0.8918128654970761,Adenovirus desmodus35011,3115876.0,nr,PSI-BLAST,PiAdV-1
WP_062494220.1,WP_062494220.1,521.0,24.376,1.0,0.0,594.0,559.0,499.0,0.8926654740608229,Gluconobacter potus,2724927.0,nr,PSI-BLAST,GC1
QJP03672.1,QJP03672.1,655.0,57.557,1.0,0.0,679.0,684.0,611.0,0.8932748538011696,Fowl aviadenovirus 5,172861.0,nr,PSI-BLAST,PiAdV-1
YP_008719853.1,YP_008719853.1,622.0,57.878,1.0,0.0,659.0,684.0,611.0,0.8932748538011696,turkey adenovirus 5,1408258.0,nr,PSI-BLAST,PiAdV-1
YP_008719821.1,YP_008719821.1,639.0,55.869,1.0,0.0,643.0,684.0,611.0,0.8932748538011696,turkey adenovirus 4,1408257.0,nr,PSI-BLAST,PiAdV-1
WP_148505950.1,WP_148505950.1,514.0,23.735,1.0,0.0,577.0,559.0,500.0,0.8944543828264758,Tanticharoenia sakaeratensis,444053.0,nr,PSI-BLAST,GC1
WBV74353.1,WBV74353.1,632.0,31.013,1.0,0.0,675.0,684.0,612.0,0.8947368421052632,Bat mastadenovirus BtSY2,3020212.0,nr,PSI-BLAST,PiAdV-1
WRQ19827.1,WRQ19827.1,632.0,32.12,1.0,0.0,668.0,684.0,612.0,0.8947368421052632,unidentified adenovirus,10535.0,nr,PSI-BLAST,PiAdV-1
BAA76963.1,BAA76963.1,632.0,31.804,1.0,0.0,619.0,684.0,612.0,0.8947368421052632,Porcine adenovirus 3,35265.0,nr,PSI-BLAST,PiAdV-1
UZE90035.1,UZE90035.1,632.0,28.639,1.0,0.0,602.0,684.0,612.0,0.8947368421052632,Human adenovirus 41,10524.0,nr,PSI-BLAST,PiAdV-1
YP_009508601.1,YP_009508601.1,642.0,61.371,1.0,0.0,704.0,684.0,614.0,0.8976608187134503,Psittacine aviadenovirus B,2169709.0,nr,PSI-BLAST,PiAdV-1
WP_211515679.1,WP_211515679.1,518.0,23.938,1.0,0.0,598.0,559.0,504.0,0.9016100178890876,Gluconobacter cerinus,38307.0,nr,PSI-BLAST,GC1
QZW33688.1,QZW33688.1,591.0,28.765,1.0,0.0,535.0,638.0,576.0,0.90282131661442,Psittacine adenovirus 2,1301246.0,nr,PSI-BLAST,EAdV-1
DBA49230.1,DBA49230.1,630.0,34.762,1.0,0.0,555.0,684.0,619.0,0.904970760233918,Adenovirus varanus37597,3115883.0,nr,PSI-BLAST,PiAdV-1
QGX41978.1,QGX41978.1,641.0,32.293,1.0,0.0,662.0,684.0,620.0,0.9064327485380116,Mastadenovirus sp.,2050578.0,nr,PSI-BLAST,PiAdV-1
WRQ19809.1,WRQ19809.1,626.0,28.594,1.0,0.0,561.0,684.0,620.0,0.9064327485380116,unidentified adenovirus,10535.0,nr,PSI-BLAST,PiAdV-1
YP_009310430.1,YP_009310430.1,622.0,63.505,1.0,0.0,648.0,684.0,621.0,0.9078947368421052,Pigeon adenovirus 2,1907767.0,nr,PSI-BLAST,PiAdV-1
YP_009328903.1,YP_009328903.1,654.0,29.511,1.0,0.0,671.0,684.0,622.0,0.9093567251461988,simian adenovirus 55,2848082.0,nr,PSI-BLAST,PiAdV-1
YP_003933582.1,YP_003933582.1,657.0,56.773,1.0,0.0,648.0,684.0,622.0,0.9093567251461988,Turkey adenovirus 1,878329.0,nr,PSI-BLAST,PiAdV-1
YP_009112717.1,YP_009112717.1,619.0,30.21,1.0,0.0,536.0,638.0,581.0,0.9106583072100314,Psittacine adenovirus 3,1580497.0,nr,PSI-BLAST,EAdV-1
YP_010790741.1,YP_010790741.1,639.0,29.734,1.0,0.0,650.0,684.0,623.0,0.9108187134502924,Rousettus aegyptiacus adenovirus,1967296.0,nr,PSI-BLAST,PiAdV-1
YP_010087258.1,YP_010087258.1,650.0,31.846,1.0,0.0,624.0,684.0,623.0,0.9108187134502924,Ovine adenovirus 8,2601527.0,nr,PSI-BLAST,PiAdV-1
BBE29335.1,BBE29335.1,642.0,30.841,1.0,0.0,728.0,684.0,624.0,0.912280701754386,Bat mastadenovirus A,1146877.0,nr,PSI-BLAST,PiAdV-1
WXG22947.1,WXG22947.1,643.0,29.86,1.0,0.0,690.0,684.0,624.0,0.912280701754386,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
YP_009032608.1,YP_009032608.1,640.0,31.875,1.0,0.0,688.0,684.0,624.0,0.912280701754386,California sea lion adenovirus 1,943083.0,nr,PSI-BLAST,PiAdV-1
WXG22591.1,WXG22591.1,642.0,29.907,1.0,0.0,677.0,684.0,624.0,0.912280701754386,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
QYW15027.1,QYW15027.1,643.0,32.97,1.0,0.0,672.0,684.0,624.0,0.912280701754386,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
WZK92860.1,WZK92860.1,643.0,31.104,1.0,0.0,672.0,684.0,624.0,0.912280701754386,Rhinolophus ferrumequinum adenovirus,3140013.0,nr,PSI-BLAST,PiAdV-1
UZF96919.1,UZF96919.1,631.0,28.685,1.0,0.0,663.0,684.0,624.0,0.912280701754386,Bovine adenovirus 10,39788.0,nr,PSI-BLAST,PiAdV-1
QHR77492.1,QHR77492.1,677.0,31.019,1.0,0.0,662.0,684.0,624.0,0.912280701754386,Squirrel monkey adenovirus,2666326.0,nr,PSI-BLAST,PiAdV-1
AWY10568.1,AWY10568.1,642.0,30.53,1.0,0.0,653.0,684.0,624.0,0.912280701754386,Polar bear adenovirus 1,2250215.0,nr,PSI-BLAST,PiAdV-1
YP_009162347.1,YP_009162347.1,646.0,31.269,1.0,0.0,652.0,684.0,624.0,0.912280701754386,Equine adenovirus 2,67603.0,nr,PSI-BLAST,PiAdV-1
QNQ79209.1,QNQ79209.1,651.0,29.954,1.0,0.0,628.0,684.0,624.0,0.912280701754386,Mastadenovirus porcusquartum,3241439.0,nr,PSI-BLAST,PiAdV-1
YP_002822208.1,YP_002822208.1,647.0,27.821,1.0,0.0,549.0,684.0,624.0,0.912280701754386,Murine adenovirus 3,573199.0,nr,PSI-BLAST,PiAdV-1
AP_000051.1,AP_000051.1,644.0,31.366,1.0,0.0,710.0,684.0,625.0,0.9137426900584796,Canine adenovirus 1,10512.0,nr,PSI-BLAST,PiAdV-1
AGT75466.1,AGT75466.1,649.0,30.046,1.0,0.0,700.0,684.0,625.0,0.9137426900584796,Human mastadenovirus D,130310.0,nr,PSI-BLAST,PiAdV-1
AFD22004.1,AFD22004.1,648.0,30.864,1.0,0.0,693.0,684.0,625.0,0.9137426900584796,Simian adenovirus A1285,1159190.0,nr,PSI-BLAST,PiAdV-1
YP_009174146.1,YP_009174146.1,649.0,31.125,1.0,0.0,690.0,684.0,625.0,0.9137426900584796,Simian adenovirus 16,1715778.0,nr,PSI-BLAST,PiAdV-1
WGN96457.1,WGN96457.1,643.0,31.26,1.0,0.0,689.0,684.0,625.0,0.9137426900584796,Lemur mastadenovirus,3043422.0,nr,PSI-BLAST,PiAdV-1
AAS10433.1,AAS10433.1,643.0,30.638,1.0,0.0,686.0,684.0,625.0,0.9137426900584796,Simian adenovirus 24,175568.0,nr,PSI-BLAST,PiAdV-1
AQQ73626.1,AQQ73626.1,643.0,29.393,1.0,0.0,683.0,684.0,625.0,0.9137426900584796,Harbour porpoise adenovirus 1,1958807.0,nr,PSI-BLAST,PiAdV-1
YP_009505687.1,YP_009505687.1,643.0,28.46,1.0,0.0,681.0,684.0,625.0,0.9137426900584796,Bottlenose dolphin adenovirus 1,1714377.0,nr,PSI-BLAST,PiAdV-1
AAW33116.1,AAW33116.1,663.0,29.11,1.0,0.0,679.0,684.0,625.0,0.9137426900584796,Human adenovirus 14,10521.0,nr,PSI-BLAST,PiAdV-1
NP_040518.2,NP_040518.2,675.0,30.222,1.0,0.0,678.0,684.0,625.0,0.9137426900584796,Human mastadenovirus C,129951.0,nr,PSI-BLAST,PiAdV-1
YP_007518314.1,YP_007518314.1,681.0,30.396,1.0,0.0,648.0,684.0,625.0,0.9137426900584796,Titi monkey adenovirus ECC-2011,994672.0,nr,PSI-BLAST,PiAdV-1
XIF84270.1,XIF84270.1,665.0,28.271,1.0,0.0,633.0,684.0,625.0,0.9137426900584796,Human adenovirus 7,10519.0,nr,PSI-BLAST,PiAdV-1
YP_009162589.1,YP_009162589.1,644.0,31.366,1.0,0.0,707.0,684.0,625.0,0.9137426900584796,Skunk adenovirus PB1,1641642.0,nr,PSI-BLAST,PiAdV-1
QCC26475.1,QCC26475.1,668.0,52.844,1.0,0.0,651.0,684.0,625.0,0.9137426900584796,Fowl aviadenovirus B,190062.0,nr,PSI-BLAST,PiAdV-1
QSV39475.1,QSV39475.1,631.0,30.111,1.0,0.0,594.0,684.0,625.0,0.9137426900584796,Bovine adenovirus 7,10511.0,nr,PSI-BLAST,PiAdV-1
NP_077390.1,NP_077390.1,631.0,29.635,1.0,0.0,585.0,684.0,625.0,0.9137426900584796,Bovine atadenovirus D,130499.0,nr,PSI-BLAST,PiAdV-1
YP_007346999.1,YP_007346999.1,631.0,29.794,1.0,0.0,574.0,684.0,625.0,0.9137426900584796,Bovine adenovirus 6,111167.0,nr,PSI-BLAST,PiAdV-1
YP_010790712.1,YP_010790712.1,643.0,29.082,1.0,0.0,666.0,684.0,626.0,0.9152046783625732,Eidolon helvum adenovirus,2039267.0,nr,PSI-BLAST,PiAdV-1
NP_659516.1,NP_659516.1,634.0,30.284,1.0,0.0,574.0,684.0,626.0,0.9152046783625732,Ovine adenovirus 7,114430.0,nr,PSI-BLAST,PiAdV-1
YP_009414576.1,YP_009414576.1,632.0,29.272,1.0,0.0,590.0,684.0,626.0,0.9152046783625732,Odocoileus adenovirus 1,78522.0,nr,PSI-BLAST,PiAdV-1
YP_009047095.1,YP_009047095.1,627.0,99.681,1.0,0.0,1253.0,684.0,627.0,0.9166666666666666,Pigeon adenovirus 1,764030.0,nr,PSI-BLAST,PiAdV-1
ABH01045.1,ABH01045.1,649.0,30.663,1.0,0.0,720.0,684.0,627.0,0.9166666666666666,simian adenovirus 7,10532.0,nr,PSI-BLAST,PiAdV-1
NP_040854.1,NP_040854.1,649.0,32.357,1.0,0.0,717.0,684.0,627.0,0.9166666666666666,Human mastadenovirus F,130309.0,nr,PSI-BLAST,PiAdV-1
YP_009325337.1,YP_009325337.1,645.0,30.543,1.0,0.0,710.0,684.0,627.0,0.9166666666666666,Bat mastadenovirus G,2015376.0,nr,PSI-BLAST,PiAdV-1
APD78427.1,APD78427.1,641.0,31.513,1.0,0.0,707.0,684.0,627.0,0.9166666666666666,Simian adenovirus 13,38432.0,nr,PSI-BLAST,PiAdV-1
YP_009704123.1,YP_009704123.1,646.0,29.721,1.0,0.0,702.0,684.0,627.0,0.9166666666666666,Bottlenose dolphin adenovirus 1,1714377.0,nr,PSI-BLAST,PiAdV-1
QRV11652.1,QRV11652.1,646.0,31.424,1.0,0.0,701.0,684.0,627.0,0.9166666666666666,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
YP_009109574.1,YP_009109574.1,646.0,31.734,1.0,0.0,700.0,684.0,627.0,0.9166666666666666,Simian adenovirus DM-2014,1560346.0,nr,PSI-BLAST,PiAdV-1
AZI15564.1,AZI15564.1,649.0,31.433,1.0,0.0,697.0,684.0,627.0,0.9166666666666666,Human adenovirus 41,10524.0,nr,PSI-BLAST,PiAdV-1
ADZ39805.1,ADZ39805.1,657.0,29.985,1.0,0.0,694.0,684.0,627.0,0.9166666666666666,Simian adenovirus 48,995021.0,nr,PSI-BLAST,PiAdV-1
YP_007518071.1,YP_007518071.1,650.0,30.615,1.0,0.0,693.0,684.0,627.0,0.9166666666666666,Simian adenovirus 20,585059.0,nr,PSI-BLAST,PiAdV-1
YP_094033.1,YP_094033.1,641.0,30.889,1.0,0.0,683.0,684.0,627.0,0.9166666666666666,Bovine mastadenovirus A,129953.0,nr,PSI-BLAST,PiAdV-1
YP_009389491.1,YP_009389491.1,642.0,31.931,1.0,0.0,680.0,684.0,627.0,0.9166666666666666,red squirrel adenovirus 1,2773314.0,nr,PSI-BLAST,PiAdV-1
YP_068061.1,YP_068061.1,647.0,29.366,1.0,0.0,680.0,684.0,627.0,0.9166666666666666,Tree shrew adenovirus 1,47680.0,nr,PSI-BLAST,PiAdV-1
YP_009272876.1,YP_009272876.1,643.0,30.949,1.0,0.0,679.0,684.0,627.0,0.9166666666666666,Bat mastadenovirus WIV12,1788434.0,nr,PSI-BLAST,PiAdV-1
YP_009272923.1,YP_009272923.1,643.0,29.549,1.0,0.0,676.0,684.0,627.0,0.9166666666666666,Bat mastadenovirus WIV13,1788435.0,nr,PSI-BLAST,PiAdV-1
ACZ92149.2,ACZ92149.2,652.0,30.521,1.0,0.0,671.0,684.0,627.0,0.9166666666666666,Human adenovirus 18,10528.0,nr,PSI-BLAST,PiAdV-1
ALE30461.1,ALE30461.1,655.0,30.382,1.0,0.0,671.0,684.0,627.0,0.9166666666666666,Simian adenovirus 17,1715779.0,nr,PSI-BLAST,PiAdV-1
NP_062436.1,NP_062436.1,646.0,30.341,1.0,0.0,544.0,684.0,627.0,0.9166666666666666,Frog adenovirus 1,114102.0,nr,PSI-BLAST,PiAdV-1
DBA47008.1,DBA47008.1,667.0,31.184,1.0,0.0,701.0,684.0,628.0,0.9181286549707602,Adenovirus myodes38640,3115880.0,nr,PSI-BLAST,PiAdV-1
QTH80085.2,QTH80085.2,637.0,27.316,1.0,0.0,537.0,684.0,628.0,0.9181286549707602,Tern adenovirus,2820437.0,nr,PSI-BLAST,PiAdV-1
YP_001552248.1,YP_001552248.1,646.0,27.399,1.0,0.0,537.0,684.0,628.0,0.9181286549707602,Snake adenovirus 1,189830.0,nr,PSI-BLAST,PiAdV-1
DBA50534.1,DBA50534.1,647.0,31.376,1.0,0.0,703.0,684.0,629.0,0.9195906432748538,Adenovirus capreolus32301,3115875.0,nr,PSI-BLAST,PiAdV-1
WXG22655.1,WXG22655.1,681.0,28.928,1.0,0.0,685.0,684.0,629.0,0.9195906432748538,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
NP_064287.1,NP_064287.1,647.0,29.521,1.0,0.0,680.0,684.0,629.0,0.9195906432748538,Bovine adenovirus 2,114429.0,nr,PSI-BLAST,PiAdV-1
YP_009373239.1,YP_009373239.1,650.0,32.615,1.0,0.0,665.0,684.0,629.0,0.9195906432748538,Deer mastadenovirus B,2170000.0,nr,PSI-BLAST,PiAdV-1
NP_015538.1,NP_015538.1,656.0,26.829,1.0,0.0,546.0,684.0,629.0,0.9195906432748538,Murine mastadenovirus A,129956.0,nr,PSI-BLAST,PiAdV-1
XBH23588.1,XBH23588.1,650.0,31.231,1.0,0.0,699.0,684.0,630.0,0.9210526315789472,Cardioderma bat adenovirus,3141913.0,nr,PSI-BLAST,PiAdV-1
YP_010798145.1,YP_010798145.1,646.0,28.173,1.0,0.0,543.0,684.0,630.0,0.9210526315789472,psittacine adenovirus 7,2848040.0,nr,PSI-BLAST,PiAdV-1
QIJ58769.1,QIJ58769.1,646.0,28.328,1.0,0.0,542.0,684.0,630.0,0.9210526315789472,psittacine adenovirus 6,3071234.0,nr,PSI-BLAST,PiAdV-1
YP_010790601.1,YP_010790601.1,651.0,30.108,1.0,0.0,692.0,684.0,631.0,0.922514619883041,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
XHO48019.1,XHO48019.1,650.0,30.923,1.0,0.0,582.0,638.0,589.0,0.9231974921630094,Fowl aviadenovirus E,190065.0,nr,PSI-BLAST,EAdV-1
QJC19248.1,QJC19248.1,642.0,28.816,1.0,0.0,578.0,649.0,600.0,0.9244992295839752,Duck adenovirus 4,2726020.0,nr,PSI-BLAST,BAdV-3
YP_009272543.1,YP_009272543.1,654.0,30.275,1.0,0.0,692.0,684.0,635.0,0.9283625730994152,Equine adenovirus 1,46916.0,nr,PSI-BLAST,PiAdV-1
YP_009665994.1,YP_009665994.1,611.0,27.169,1.0,0.0,544.0,638.0,594.0,0.9310344827586208,Great tit adenovirus 1,676130.0,nr,PSI-BLAST,EAdV-1
YP_004935932.1,YP_004935932.1,606.0,27.558,1.0,0.0,554.0,638.0,594.0,0.9310344827586208,Skua adenovirus 1,1520004.0,nr,PSI-BLAST,EAdV-1
XBY87759.1,XBY87759.1,690.0,58.841,1.0,0.0,683.0,684.0,637.0,0.9312865497076024,Psittacine aviadenovirus B,2169709.0,nr,PSI-BLAST,PiAdV-1
NP_044190.1,NP_044190.1,656.0,31.098,1.0,0.0,727.0,684.0,637.0,0.9312865497076024,Canine mastadenovirus A,10537.0,nr,PSI-BLAST,PiAdV-1
UVZ42948.1,UVZ42948.1,612.0,26.797,1.0,0.0,541.0,638.0,597.0,0.9357366771159876,Siadenovirus sp.,2671519.0,nr,PSI-BLAST,EAdV-1
YP_004414801.1,YP_004414801.1,603.0,26.866,1.0,0.0,564.0,638.0,598.0,0.9373040752351096,Raptor adenovirus 1,1520002.0,nr,PSI-BLAST,EAdV-1
QUS52947.1,QUS52947.1,648.0,31.019,1.0,0.0,555.0,638.0,600.0,0.9404388714733544,Pigeon adenovirus 1,764030.0,nr,PSI-BLAST,EAdV-1
YP_010798521.1,YP_010798521.1,651.0,29.647,1.0,0.0,540.0,638.0,603.0,0.945141065830721,Bearded dragon adenovirus 1,2729647.0,nr,PSI-BLAST,EAdV-1
ALB78183.1,ALB78183.1,642.0,26.48,1.0,0.0,547.0,671.0,636.0,0.947839046199702,unidentified adenovirus,10535.0,nr,PSI-BLAST,hAd2
YP_004123739.1,YP_004123739.1,726.0,38.017,1.0,0.0,587.0,638.0,608.0,0.9529780564263324,Murine adenovirus 2,931972.0,nr,PSI-BLAST,EAdV-1
WP_303766459.1,WP_303766459.1,348.0,74.425,1.0,0.0,538.0,360.0,344.0,0.9555555555555556,Abiotrophia defectiva,46125.0,nr,PSI-BLAST,Av-1
AGU01647.1,AGU01647.1,594.0,60.269,1.0,0.0,646.0,619.0,593.0,0.9579967689822294,Gouldian finch adenovirus 1,1391178.0,nr,PSI-BLAST,CPAdV-2
DAX94084.1,DAX94084.1,346.0,78.613,1.0,0.0,575.0,360.0,346.0,0.9611111111111112,Bacteriophage sp.,38018.0,nr,PSI-BLAST,Av-1
NP_047386.1,NP_047386.1,599.0,72.454,1.0,0.0,808.0,619.0,598.0,0.9660743134087236,Turkey adenovirus 3,41678.0,nr,PSI-BLAST,CPAdV-2
YP_009051655.1,YP_009051655.1,628.0,28.503,1.0,0.0,538.0,619.0,598.0,0.9660743134087236,Lizard adenovirus 2,874272.0,nr,PSI-BLAST,CPAdV-2
DBA47500.1,DBA47500.1,585.0,46.325,1.0,0.0,607.0,581.0,573.0,0.9862306368330463,Adenovirus zootoca35082,3115884.0,nr,PSI-BLAST,DAdV-1
DAQ22873.1,DAQ22873.1,356.0,75.0,1.0,0.0,546.0,360.0,356.0,0.9888888888888888,Caudoviricetes sp.,2832643.0,nr,PSI-BLAST,Av-1
DAY18852.1,DAY18852.1,358.0,96.927,1.0,0.0,714.0,360.0,358.0,0.9944444444444444,Caudoviricetes sp.,2832643.0,nr,PSI-BLAST,Av-1
DAH99495.1,DAH99495.1,358.0,89.385,1.0,0.0,662.0,360.0,358.0,0.9944444444444444,Caudoviricetes sp.,2832643.0,nr,PSI-BLAST,Av-1
DAJ56772.1,DAJ56772.1,358.0,84.078,1.0,0.0,628.0,360.0,358.0,0.9944444444444444,Caudoviricetes sp.,2832643.0,nr,PSI-BLAST,Av-1
DAQ29212.1,DAQ29212.1,358.0,83.52,1.0,0.0,624.0,360.0,358.0,0.9944444444444444,Caudoviricetes sp.,2832643.0,nr,PSI-BLAST,Av-1
